#time       rbondvec_in_meters                                   rbond_magnitude             rbond_unit_vector
1           [-1.11045076e-10,8.7073515e-11,-5.1034548e-11]       0.000000                    [-0.74001557,0.58026665,-0.34009936]              
2           [-1.1718503e-10,7.284164e-11,-1.3574601e-11]         0.000000                    [-0.84521484,0.52538145,-0.09790888]              
3           [-1.1842957e-10,8.1827926e-11,-2.0923234e-11]        0.000000                    [-0.8141623,0.5625387,-0.14384]                   
4           [-1.05139925e-10,7.351113e-11,-5.571251e-11]         0.000000                    [-0.7517252,0.5255869,-0.39833108]                
5           [-8.144951e-11,9.6475605e-11,-6.814117e-11]          0.000000                    [-0.5676953,0.6724258,-0.4749375]                 
6           [-1.1313553e-10,7.72831e-11,-3.19561e-11]            0.000000                    [-0.8041509,0.549317,-0.22713931]                 
7           [-1.2234078e-10,7.651863e-11,-2.5936508e-11]         0.000000                    [-0.8344528,0.5219126,-0.1769058]                 
8           [-1.268919e-10,6.434326e-11,-2.3733902e-11]          0.000000                    [-0.87973326,0.4460876,-0.1645456]                
9           [-1.2564487e-10,7.253723e-11,1.7227936e-11]          0.000000                    [-0.85999477,0.49649173,0.11791914]               
10          [-1.1529026e-10,7.2877884e-11,-3.202057e-11]         0.000000                    [-0.822907,0.5201803,-0.22855313]                 
11          [-1.1392327e-10,8.7472155e-11,-2.7833177e-11]        0.000000                    [-0.7786802,0.5978834,-0.19024335]                
12          [-1.0946045e-10,7.568741e-11,-3.9982986e-11]         0.000000                    [-0.78773373,0.54468554,-0.28773814]              
13          [-1.1405068e-10,8.80497e-11,-3.478012e-11]           0.000000                    [-0.76945496,0.5940366,-0.23464775]               
14          [-1.2859115e-10,7.347336e-11,-1.8196106e-11]         0.000000                    [-0.86178434,0.49239928,-0.12194555]              
15          [-1.2971993e-10,6.327591e-11,-2.6571275e-11]         0.000000                    [-0.88391954,0.43116593,-0.18105829]              
16          [-1.0752106e-10,7.7404784e-11,-6.2326054e-11]        0.000000                    [-0.73436743,0.52867365,-0.42568612]              
17          [-1.0481377e-10,8.5435485e-11,-4.6892167e-11]        0.000000                    [-0.7323366,0.59694,-0.3276368]                   
18          [-1.0313568e-10,8.947678e-11,-5.8399965e-11]         0.000000                    [-0.6944948,0.60251856,-0.39325354]               
19          [-9.983883e-11,9.000168e-11,-4.0811157e-11]          0.000000                    [-0.7107156,0.64068854,-0.29051948]               
20          [-9.94772e-11,8.92273e-11,-5.4722595e-11]            0.000000                    [-0.6888932,0.6179113,-0.37896147]                
21          [-1.2333622e-10,6.9010166e-11,5.3989413e-12]         0.000000                    [-0.8720452,0.4879344,0.03817306]                 
22          [-1.2019158e-10,7.72995e-11,-1.9612884e-11]          0.000000                    [-0.83326066,0.5358997,-0.13597162]               
23          [-1.233284e-10,6.3000105e-11,-1.9245529e-11]         0.000000                    [-0.88205874,0.4505839,-0.13764621]               
24          [-1.15026474e-10,8.077584e-11,-2.176094e-11]         0.000000                    [-0.80873585,0.5679242,-0.15299828]               
25          [-1.1644974e-10,8.36277e-11,-2.9594802e-11]          0.000000                    [-0.7954769,0.5712671,-0.2021643]                 
26          [-1.278263e-10,7.5540164e-11,-2.0641709e-11]         0.000000                    [-0.85270685,0.5039152,-0.13769722]               
27          [-1.09726145e-10,8.3205415e-11,-4.03759e-11]         0.000000                    [-0.7646248,0.57981557,-0.28135878]               
28          [-1.2565632e-10,7.0078277e-11,-2.1813584e-11]        0.000000                    [-0.86349374,0.48156872,-0.1499001]               
29          [-1.13163375e-10,7.048569e-11,-4.177666e-11]         0.000000                    [-0.80997545,0.50450665,-0.2990196]               
30          [-1.0191536e-10,8.543358e-11,-5.711136e-11]          0.000000                    [-0.7041662,0.5902882,-0.39460084]                
31          [-1.1239586e-10,7.947426e-11,-2.0729828e-11]         0.000000                    [-0.8073983,0.5709052,-0.1489132]                 
32          [-1.044199e-10,8.384323e-11,-4.303627e-11]           0.000000                    [-0.7423551,0.59606886,-0.30595884]               
33          [-1.1683998e-10,7.426834e-11,-2.2773743e-11]         0.000000                    [-0.8327461,0.529328,-0.16231383]                 
34          [-1.1500397e-10,7.552109e-11,-4.892769e-11]          0.000000                    [-0.7875642,0.5171796,-0.33506405]                
35          [-1.1982385e-10,7.6942064e-11,-2.3786164e-11]        0.000000                    [-0.82995915,0.5329388,-0.16475473]               
36          [-9.924431e-11,7.841492e-11,-6.675415e-11]           0.000000                    [-0.6939237,0.5482831,-0.4667501]                 
37          [-1.08561896e-10,8.670311e-11,-3.539505e-11]         0.000000                    [-0.7571971,0.6047365,-0.24687326]                
38          [-1.0245323e-10,8.6494444e-11,-5.959358e-11]         0.000000                    [-0.69824886,0.58948505,-0.40614775]              
39          [-1.2468453e-10,6.770897e-11,-1.2204361e-11]         0.000000                    [-0.87555206,0.47546178,-0.08570071]              
40          [-1.2462234e-10,6.264801e-11,-1.6866303e-11]         0.000000                    [-0.88699794,0.44589645,-0.12004571]              
41          [-1.1496792e-10,8.348427e-11,-2.7364732e-11]         0.000000                    [-0.79456437,0.5769751,-0.18912268]               
42          [-1.1161842e-10,8.213997e-11,-3.916626e-11]          0.000000                    [-0.7750599,0.5703663,-0.27196404]                
43          [-1.2440739e-10,6.329689e-11,-1.3817215e-11]         0.000000                    [-0.8869377,0.45126253,-0.09850708]               
44          [-1.0722847e-10,7.870445e-11,-6.0609816e-11]         0.000000                    [-0.7335837,0.5384419,-0.4146508]                 
45          [-1.2087174e-10,7.885399e-11,-2.1176148e-11]         0.000000                    [-0.82865953,0.54059875,-0.14517716]              
46          [-1.2621461e-10,6.3948444e-11,-1.6080857e-11]        0.000000                    [-0.88633054,0.4490721,-0.11292635]               
47          [-1.09140016e-10,7.369576e-11,-4.5653533e-11]        0.000000                    [-0.7830379,0.5287389,-0.32754666]                
48          [-1.2162056e-10,7.5689316e-11,-1.1600495e-12]        0.000000                    [-0.848984,0.52835655,-0.008097837]               
49          [-1.0676251e-10,8.847466e-11,-3.7989046e-11]         0.000000                    [-0.742604,0.6153999,-0.264239]                   
50          [-1.1420403e-10,8.5131076e-11,-2.6132966e-11]        0.000000                    [-0.78859365,0.58784115,-0.18045153]              
51          [-1.1619358e-10,7.555771e-11,-3.287735e-11]          0.000000                    [-0.81570315,0.53043085,-0.23080584]              
52          [-1.0686455e-10,8.6027144e-11,-5.240059e-11]         0.000000                    [-0.7276853,0.5857947,-0.35681745]                
53          [-1.0598317e-10,7.6129915e-11,-5.240326e-11]         0.000000                    [-0.7536789,0.54138327,-0.3726557]                
54          [-1.03673556e-10,7.7567675e-11,-4.9929047e-11]       0.000000                    [-0.74707466,0.5589549,-0.35979015]               
55          [-1.1295261e-10,7.5397875e-11,-3.1966783e-11]        0.000000                    [-0.8095972,0.54042053,-0.22912456]               
56          [-1.2472438e-10,6.727943e-11,-1.492119e-11]          0.000000                    [-0.87527853,0.472147,-0.10471246]                
57          [-1.1438713e-10,7.522545e-11,-2.4987411e-11]         0.000000                    [-0.82193726,0.5405381,-0.1795489]                
58          [-1.1399918e-10,7.3559187e-11,-4.3437195e-11]        0.000000                    [-0.8002444,0.51636624,-0.30491775]               
59          [-1.2511196e-10,6.779213e-11,-2.3307418e-11]         0.000000                    [-0.86766195,0.47014412,-0.1616389]               
60          [-9.5728876e-11,8.969879e-11,-5.5379867e-11]         0.000000                    [-0.6722689,0.6299218,-0.38891256]                
61          [-1.05580523e-10,8.505593e-11,-5.2135088e-11]        0.000000                    [-0.7268493,0.58555156,-0.35891423]               
62          [-1.08275985e-10,8.195572e-11,-3.9419558e-11]        0.000000                    [-0.7657354,0.57959664,-0.2787779]                
63          [-1.11277584e-10,6.792068e-11,-5.2344896e-11]        0.000000                    [-0.7920984,0.48347443,-0.37260252]               
64          [-1.174986e-10,7.9167554e-11,-2.4864198e-11]         0.000000                    [-0.8168365,0.55036354,-0.172853]                 
65          [-1.1681786e-10,7.828942e-11,-1.9904328e-11]         0.000000                    [-0.82250136,0.551227,-0.14014412]                
66          [-1.234438e-10,7.203751e-11,-2.9080963e-11]          0.000000                    [-0.8463501,0.49390048,-0.19938365]               
67          [-1.09734916e-10,7.940445e-11,-3.9351654e-11]        0.000000                    [-0.7779807,0.5629487,-0.27898893]                
68          [-9.938145e-11,8.847313e-11,-4.659653e-11]           0.000000                    [-0.70493215,0.62755734,-0.33051834]              
69          [-1.2049389e-10,6.920624e-11,-3.1806183e-11]         0.000000                    [-0.84528685,0.4854945,-0.22312623]               
70          [-1.1519737e-10,7.188683e-11,-3.020668e-11]          0.000000                    [-0.82812405,0.5167758,-0.217148]                 
71          [-1.13660054e-10,8.002396e-11,-4.3682863e-11]        0.000000                    [-0.780057,0.54921013,-0.2997986]                 
72          [-9.964066e-11,8.138771e-11,-5.4418182e-11]          0.000000                    [-0.7132936,0.582627,-0.3895613]                  
73          [-1.0857906e-10,8.096161e-11,-4.8482895e-11]         0.000000                    [-0.7547717,0.56279296,-0.33702186]               
74          [-1.1002922e-10,8.065147e-11,-2.9613877e-11]         0.000000                    [-0.7881768,0.57773393,-0.21213429]               
75          [-1.2824174e-10,6.527558e-11,-3.674469e-11]          0.000000                    [-0.8634874,0.4395187,-0.24741226]                
76          [-1.1829263e-10,7.7182774e-11,-1.2007523e-11]        0.000000                    [-0.8344859,0.5444797,-0.08470611]                
77          [-1.1405983e-10,8.0574034e-11,-3.1695938e-11]        0.000000                    [-0.79650307,0.5626649,-0.2213392]                
78          [-1.1879253e-10,7.1746824e-11,-2.1429825e-11]        0.000000                    [-0.84596443,0.510935,-0.15260951]                
79          [-1.2539253e-10,6.861076e-11,-2.1564485e-11]         0.000000                    [-0.8674465,0.47463885,-0.14917983]               
80          [-1.12996675e-10,9.176445e-11,-1.6860199e-11]        0.000000                    [-0.7711112,0.6262184,-0.11505726]                
81          [-1.13313296e-10,8.114739e-11,-3.757057e-11]         0.000000                    [-0.7850007,0.5621649,-0.26027772]                
82          [-1.2092399e-10,7.8727344e-11,-9.6500394e-12]        0.000000                    [-0.83617413,0.5443896,-0.0667288]                
83          [-1.0845928e-10,7.346954e-11,-5.1926803e-11]         0.000000                    [-0.7696682,0.5213677,-0.3684923]                 
84          [-1.04722404e-10,8.546753e-11,-4.3870546e-11]        0.000000                    [-0.7368953,0.60140544,-0.30870184]               
85          [-1.1490612e-10,8.2731245e-11,-1.624794e-11]         0.000000                    [-0.8062472,0.5804898,-0.11400486]                
86          [-1.1595345e-10,7.724647e-11,-3.2923126e-11]         0.000000                    [-0.80993,0.5395634,-0.22996667]                  
87          [-1.1022492e-10,7.580948e-11,-4.389458e-11]          0.000000                    [-0.7828731,0.5384372,-0.31176147]                
88          [-1.0802117e-10,7.5315476e-11,-4.9780274e-11]        0.000000                    [-0.7673036,0.5349862,-0.35360277]                
89          [-1.09974675e-10,7.278061e-11,-4.6899415e-11]        0.000000                    [-0.7857138,0.51998085,-0.33507276]               
90          [-1.2208576e-10,7.587014e-11,-2.6341249e-11]         0.000000                    [-0.8354385,0.51918286,-0.18025438]               
91          [-1.1799507e-10,7.243652e-11,-3.0797195e-11]         0.000000                    [-0.8318934,0.51069474,-0.21712756]               
92          [-1.147789e-10,7.677689e-11,-3.1050874e-11]          0.000000                    [-0.8109397,0.5424467,-0.21938166]                
93          [-1.1614914e-10,7.9570774e-11,-3.491974e-11]         0.000000                    [-0.800714,0.5485485,-0.24073124]                 
94          [-1.14400295e-10,7.947922e-11,-3.054123e-11]         0.000000                    [-0.8021992,0.5573252,-0.21416159]                
95          [-1.227293e-10,7.12368e-11,2.8491974e-12]            0.000000                    [-0.8646923,0.5019006,0.02007409]                 
96          [-1.08680724e-10,7.8535844e-11,-4.2990875e-11]       0.000000                    [-0.77182263,0.55774146,-0.30531016]              
97          [-1.1001187e-10,8.133698e-11,-3.637085e-11]          0.000000                    [-0.77710223,0.5745485,-0.25691655]               
98          [-1.1839753e-10,6.985016e-11,-4.29821e-11]           0.000000                    [-0.822037,0.4849714,-0.2984258]                  
99          [-1.0948658e-10,8.218003e-11,-3.7293627e-11]         0.000000                    [-0.7716509,0.57919693,-0.2628419]                
100         [-1.0992203e-10,7.467346e-11,-5.046501e-11]          0.000000                    [-0.7732997,0.5253266,-0.35502052]                
101         [-9.755421e-11,9.0897755e-11,-5.177269e-11]          0.000000                    [-0.6820199,0.6354833,-0.36195263]                
102         [-1.1170368e-10,6.013718e-11,-5.2152633e-11]         0.000000                    [-0.8143777,0.4384312,-0.38021973]                
103         [-1.1958619e-10,6.268577e-11,-3.3321e-11]            0.000000                    [-0.8598951,0.4507476,-0.2395976]                 
104         [-1.107172e-10,8.738556e-11,-2.675209e-11]           0.000000                    [-0.77121216,0.6086932,-0.18634447]               
105         [-1.12382124e-10,8.136177e-11,-3.6544802e-11]        0.000000                    [-0.78328854,0.5670808,-0.25471243]               
