@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
108               23.568520     -19.419563      12.879625      -3.531415       1.000000
109               19.340473     -17.069736       8.869600      -2.002040       1.000000
110               27.211786     -22.498642      12.947581      -8.164098       1.000000
111               28.141659     -24.143318      13.988366      -3.657688       1.000000
112               17.466476     -14.249949       9.931479      -1.839159       1.000000
113               24.280809     -20.712547      12.533674      -1.858791       1.000000
114               22.646158     -18.487488      11.655148      -5.934540       1.000000
115               21.821602     -18.962120      10.704931      -1.422922       1.000000
116               21.446915     -15.163019      14.241722      -5.217889       1.000000
117               23.727251     -18.441368      12.998421      -7.344351       1.000000
118               18.603861     -15.520325       9.859454      -2.830964       1.000000
119               17.812143     -13.441776       9.642683      -6.603769       1.000000
120               24.078608     -20.805452      11.947764      -2.040433       1.000000
121               23.783327     -18.186008      14.491786      -4.990376       1.000000
122               22.575926     -18.237160      12.125208      -5.482495       1.000000
123               26.317877     -21.277674      14.230964      -6.113176       1.000000
124               22.304987     -18.948393      11.685196      -1.388192       1.000000
125               27.003830     -22.327528      15.030897      -2.181853       1.000000
126               14.695789     -12.649262       7.151260       2.195873       1.000000
127               22.399897     -17.399242      12.854792      -5.811714       1.000000
128               28.991089     -25.792826      13.220011       0.666873       1.000000
129               18.393770     -14.596475      10.351770      -4.256124       1.000000
130               29.458061     -23.790102      15.010370      -8.746268       1.000000
131               15.015746     -11.876279       8.694010      -2.973352       1.000000
132               19.487307     -13.338047      12.571101      -6.619595       1.000000
133               32.938881     -28.044298      16.366070      -5.535244       1.000000
134               21.759176     -16.953512      13.244923      -3.257644       1.000000
135               27.246561     -22.104462      13.506234      -8.446862       1.000000
136               28.652708     -21.840292      16.952272      -7.523282       1.000000
137               15.996420     -12.923643       8.557760      -3.953434       1.000000
138               30.295214     -25.401127      14.337348      -8.186770       1.000000
139               22.665751     -18.526760      12.408241      -4.065821       1.000000
140               19.848576     -14.143705       9.968448      -9.723766       1.000000
141               32.254482     -25.666555      17.532017      -8.614399       1.000000
142               19.304115     -13.552087      11.389373      -7.698833       1.000000
143               23.238609     -19.815212      11.977454      -1.982645       1.000000
144               32.860653     -30.499027      11.513032      -4.133041       1.000000
145               21.967257     -18.208353      11.881691      -3.137136       1.000000
146               25.264336     -19.955774      13.604004      -7.415174       1.000000
147               22.596952     -18.036383      13.401383      -2.390415       1.000000
148               16.821053     -11.961076      10.240291      -5.917511       1.000000
149               14.489809     -11.755778       6.890694      -4.926924       1.000000
150               19.030611     -15.489877      10.029427      -4.651723       1.000000
151               31.420122     -26.250994      16.602871      -4.738569       1.000000
152               16.003321     -12.399619       9.256448      -4.083367       1.000000
153               25.317678     -20.037987      13.816283      -6.969523       1.000000
154                6.667455      -5.511093       3.660753      -0.825654       1.000000
155               26.149977     -21.805901      12.597075      -7.045399       1.000000
156               21.636431     -16.857418      12.324798      -5.662324       1.000000
157               25.422760     -19.416632      14.396710      -7.876919       1.000000
158               17.569155     -13.286016       9.969979      -5.723326       1.000000
159               23.246065     -20.220207      11.467443       0.143199       1.000000
160               24.474476     -19.341597      13.858728      -5.730474       1.000000
161               19.590015     -13.692697      13.496293      -3.758828       1.000000
162               20.340267     -16.606462      11.173691      -3.619467       1.000000
163               18.130892     -11.992247      11.475202      -7.296233       1.000000
164               21.366497     -17.990128      11.352927      -1.998383       1.000000
165               16.055805     -13.326750       7.845541      -4.316722       1.000000
166               26.368343     -22.537518      12.645052      -5.239509       1.000000
167               31.962326     -26.338774      16.946424      -6.377928       1.000000
168               10.297315      -8.730220       5.420856      -0.657483       1.000000
169               27.177780     -24.882162      10.908801      -0.712609       1.000000
170                8.697667      -7.524978       4.295127      -0.758943       1.000000
171               27.751163     -20.398100      15.561863     -10.577004       1.000000
172               21.499273     -16.749880      12.589296      -4.813510       1.000000
173               25.710871     -21.490332      13.187373      -5.030676       1.000000
174               19.327848     -15.224170      11.042097      -4.456734       1.000000
175               23.684965     -16.845005      14.939641      -7.350549       1.000000
176               29.483557     -21.194212      16.843155     -11.678772       1.000000
177               28.945847     -24.876619      14.179985      -4.236018       1.000000
178               16.831533     -14.824351       7.900017      -1.062474       1.000000
179               34.745674     -31.695988      14.190841      -1.116373       1.000000
180               23.447716     -16.751102      15.639535      -4.959932       1.000000
181               18.816908     -16.511614       9.024437       0.046605       1.000000
182               18.756439     -14.795326      11.213660      -2.675098       1.000000
183               16.201008     -13.092835       8.607334      -4.118750       1.000000
184               23.225573     -16.461720      14.740504      -7.152376       1.000000
185               22.025806     -17.257561      12.295607      -6.010888       1.000000
186               26.885651     -22.833900      13.433844      -4.580722       1.000000
187               28.675667     -25.218197      13.628079      -0.782181       1.000000
188               21.791906     -18.927933      10.569579      -2.214620       1.000000
189               19.074541     -16.003645      10.348561       0.792961       1.000000
190               33.969372     -26.345257      19.482864      -8.958994       1.000000
191               13.279917     -10.352661       6.991448      -4.505361       1.000000
192               16.679720     -13.110127       9.177886      -4.701490       1.000000
193               19.779247     -16.046818      10.835706      -4.038036       1.000000
194               14.534101     -12.377130       7.269542      -2.280460       1.000000
195               14.010593     -12.045785       7.002570      -1.469627       1.000000
196               20.244551     -15.986611      10.603565      -6.467958       1.000000
197                8.742090      -6.727368       5.156079      -2.140446       1.000000
198               29.141647     -22.507759      16.635077      -8.118538       1.000000
199               11.535355      -8.583538       6.916754      -3.397911       1.000000
200               16.858913     -14.891051       7.646856      -2.001283       1.000000
201               29.387806     -23.557135      17.407066      -2.387174       1.000000
202               17.293583     -10.253226      11.735985      -7.497069       1.000000
