#time     probe_coordinates
1         [32.596546, 37.68691, 40.63681]                             
2         [32.539036, 37.336475, 40.946022]                           
3         [32.679546, 37.518784, 40.40499]                            
4         [32.76874, 37.3871, 40.645927]                              
5         [32.760483, 37.347336, 41.00293]                            
6         [32.901268, 37.396835, 41.061226]                           
7         [32.640877, 37.123604, 40.481087]                           
8         [32.478004, 37.25961, 40.80538]                             
9         [32.548054, 37.206932, 40.665134]                           
10        [32.552086, 37.57418, 40.291653]                            
11        [32.541733, 37.37777, 40.271027]                            
12        [32.662975, 37.41353, 40.55478]                             
13        [32.33996, 37.39073, 40.58383]                              
14        [32.427315, 37.57774, 40.427116]                            
15        [32.670937, 37.486107, 40.63365]                            
16        [32.563297, 37.43084, 40.34412]                             
17        [32.56225, 37.647865, 40.51851]                             
18        [32.296726, 37.553352, 40.763847]                           
19        [32.4622, 37.696278, 40.44631]                              
20        [32.455112, 37.511166, 40.695206]                           
21        [32.499607, 37.478874, 40.442993]                           
22        [32.40371, 37.65388, 40.495174]                             
23        [32.679325, 37.66587, 40.52128]                             
24        [32.48623, 37.466118, 40.870422]                            
25        [32.44889, 37.566727, 40.489067]                            
26        [32.44043, 37.417606, 40.81173]                             
27        [32.396744, 37.27132, 40.39093]                             
28        [32.220074, 37.246185, 40.708405]                           
29        [32.505264, 37.438725, 40.517372]                           
30        [32.55509, 37.452232, 40.80297]                             
31        [32.22303, 37.24021, 40.70242]                              
32        [32.430767, 37.438904, 40.962173]                           
33        [32.58879, 37.151203, 40.88299]                             
34        [32.426445, 37.40881, 40.58866]                             
35        [32.498222, 37.281647, 40.71474]                            
36        [32.43727, 37.213066, 40.66401]                             
37        [32.33311, 37.58625, 40.464413]                             
38        [32.52659, 37.409184, 40.60576]                             
39        [32.706314, 37.421684, 40.55384]                            
40        [32.463318, 37.379566, 40.40104]                            
41        [32.410465, 37.606575, 40.834335]                           
42        [32.456078, 37.471024, 40.79756]                            
43        [32.3667, 37.425163, 40.781235]                             
44        [32.61812, 37.43566, 40.63114]                              
45        [32.694008, 37.438354, 40.61306]                            
46        [32.442024, 37.664665, 40.601173]                           
47        [32.290092, 37.618004, 41.036407]                           
48        [32.35119, 37.35076, 40.66584]                              
49        [32.345657, 37.373917, 40.71205]                            
50        [32.6024, 37.34488, 40.58716]                               
51        [32.22888, 37.15961, 40.760193]                             
52        [32.420723, 37.26908, 40.70208]                             
53        [32.1919, 37.326866, 40.614723]                             
54        [32.7257, 37.408943, 40.420784]                             
55        [32.386204, 37.452118, 40.741173]                           
56        [32.501698, 37.35357, 40.63353]                             
57        [32.23767, 37.36686, 40.592644]                             
58        [32.56332, 37.441994, 40.505627]                            
59        [32.4331, 37.625374, 40.78347]                              
60        [32.161842, 37.341602, 40.94712]                            
61        [32.11592, 37.514214, 40.89341]                             
62        [32.641045, 37.605, 40.357487]                              
63        [32.044346, 37.402508, 40.900803]                           
64        [32.419945, 37.626038, 40.300484]                           
65        [32.583267, 37.666, 40.5314]                                
66        [32.5017, 37.66376, 40.71811]                               
67        [32.51261, 37.708332, 40.66654]                             
68        [32.29341, 37.253563, 40.846615]                            
69        [32.34684, 37.559402, 40.464558]                            
70        [32.255844, 37.38098, 40.64203]                             
71        [32.45085, 37.171135, 40.902153]                            
72        [32.492153, 36.988167, 40.712986]                           
73        [32.439827, 37.47003, 40.328857]                            
74        [32.511, 37.48465, 40.866684]                               
75        [32.672462, 37.409637, 40.56156]                            
76        [32.5231, 37.42343, 40.559464]                              
77        [32.593735, 37.339096, 40.829025]                           
78        [32.32662, 37.57784, 40.65152]                              
79        [32.51409, 37.27752, 40.711277]                             
80        [32.434505, 37.45713, 40.654556]                            
81        [32.474915, 37.546494, 40.73092]                            
82        [32.079407, 37.38807, 40.87217]                             
83        [32.39911, 37.337925, 40.476738]                            
84        [32.361103, 37.508064, 40.63213]                            
85        [32.356705, 37.374535, 41.072166]                           
86        [32.666985, 37.29773, 40.562916]                            
87        [32.280388, 37.50487, 41.217194]                            
88        [32.3375, 37.395462, 40.772392]                             
89        [32.427334, 37.649292, 40.659687]                           
90        [32.45726, 37.610504, 40.620377]                            
91        [32.484436, 37.405655, 40.44593]                            
92        [32.551537, 37.26548, 40.507145]                            
93        [32.231327, 37.642227, 40.480373]                           
94        [32.376163, 37.49976, 40.84811]                             
95        [32.318554, 37.46366, 40.82875]                             
96        [32.14412, 37.64244, 40.605946]                             
97        [32.351246, 37.6788, 40.401207]                             
98        [32.68452, 37.615345, 40.431587]                            
99        [32.422104, 37.359238, 40.73246]                            
100       [32.638596, 37.19886, 40.716187]                            
101       [32.440243, 37.37922, 40.86841]                             
102       [32.502556, 37.527584, 40.72264]                            
103       [32.589375, 37.456512, 40.33693]                            
104       [32.53508, 37.48472, 40.600998]                             
105       [32.46367, 37.596054, 40.393005]                            
106       [32.198936, 37.489983, 40.594643]                           
107       [32.68571, 37.402847, 40.32251]                             
108       [32.807877, 37.226234, 40.713024]                           
109       [32.03534, 37.29772, 41.00823]                              
110       [32.405457, 37.550983, 40.820984]                           
111       [32.54067, 37.33979, 40.763664]                             
112       [32.55479, 37.269638, 40.51046]                             
113       [32.545006, 37.410843, 40.28309]                            
114       [32.342243, 37.202396, 40.67994]                            
115       [32.174263, 37.42497, 40.724667]                            
116       [32.19156, 37.427765, 40.418884]                            
117       [32.415718, 37.439125, 40.609154]                           
118       [32.199505, 37.4637, 40.59043]                              
119       [32.29594, 37.18715, 40.702827]                             
120       [32.220192, 37.34449, 40.655]                               
121       [32.48191, 37.403854, 40.44249]                             
122       [32.54207, 37.307014, 40.81228]                             
123       [32.564247, 37.384003, 40.786377]                           
124       [32.066895, 37.344475, 40.518627]                           
125       [32.364243, 37.567825, 40.397263]                           
126       [32.335953, 37.46415, 40.73581]                             
127       [32.177605, 37.555252, 40.692085]                           
128       [32.38331, 37.574047, 40.725807]                            
129       [32.187252, 37.299606, 40.428535]                           
130       [32.158108, 37.500633, 40.71247]                            
131       [32.447746, 37.35537, 40.479713]                            
132       [32.56226, 37.18551, 40.605713]                             
133       [32.29471, 37.313637, 40.773182]                            
134       [32.699615, 37.485992, 40.267853]                           
135       [32.378403, 37.604813, 40.678818]                           
136       [32.561428, 37.50174, 40.461395]                            
137       [32.369747, 37.712475, 40.475147]                           
138       [32.502426, 37.485, 40.46753]                               
139       [32.254578, 37.37576, 40.60908]                             
140       [32.333004, 37.182877, 40.89306]                            
141       [32.828583, 37.197556, 40.860092]                           
142       [32.280922, 37.60508, 40.498344]                            
143       [32.42293, 37.36468, 40.48403]                              
144       [32.353172, 37.327263, 40.261044]                           
145       [32.132248, 37.57974, 40.861824]                            
146       [32.43177, 37.5569, 40.720497]                              
147       [32.17044, 37.568405, 40.489666]                            
148       [32.351917, 37.494537, 40.79611]                            
149       [32.187645, 37.217915, 40.789955]                           
150       [32.365948, 37.527905, 40.65402]                            
151       [32.37944, 37.433426, 40.976383]                            
152       [32.328888, 37.500923, 40.58523]                            
153       [32.204758, 37.348427, 40.852062]                           
154       [32.339355, 37.235695, 40.810234]                           
155       [32.42576, 37.460144, 40.70709]                             
156       [32.706158, 37.589005, 40.635986]                           
157       [32.42826, 37.209084, 40.57816]                             
158       [32.27177, 37.341766, 40.784294]                            
159       [32.20925, 37.624435, 40.447495]                            
160       [32.184624, 37.499916, 40.684723]                           
161       [32.40133, 37.208656, 40.43538]                             
162       [32.15445, 37.528023, 40.81298]                             
163       [32.439636, 37.497677, 40.528]                              
164       [32.331898, 37.29145, 40.588814]                            
165       [31.999992, 37.26089, 40.651047]                            
166       [32.16208, 37.461624, 40.588203]                            
167       [32.23079, 37.26822, 40.56318]                              
168       [32.275238, 37.415737, 40.676907]                           
169       [32.282024, 37.296364, 40.738483]                           
170       [32.47141, 37.141724, 40.88582]                             
171       [32.448425, 37.363564, 40.44243]                            
172       [32.12848, 37.65128, 40.662136]                             
173       [32.418114, 37.432835, 40.784637]                           
174       [32.522263, 37.562912, 40.54937]                            
175       [32.595108, 37.539337, 40.65975]                            
176       [32.31306, 37.32477, 40.9952]                               
177       [32.688488, 37.355175, 40.958534]                           
178       [32.514137, 37.34205, 40.745102]                            
179       [32.572872, 37.308907, 40.58821]                            
180       [32.40555, 37.211952, 40.663773]                            
181       [32.55757, 37.26379, 40.95697]                              
182       [32.295055, 37.601997, 40.48504]                            
183       [32.642975, 37.500122, 40.48108]                            
184       [32.579445, 37.382908, 40.63916]                            
185       [32.2446, 37.34196, 40.816063]                              
186       [32.3966, 37.283142, 40.78576]                              
187       [32.458862, 37.233772, 40.673267]                           
188       [32.61592, 37.341537, 40.216324]                            
189       [32.451714, 37.41272, 40.738316]                            
190       [32.67069, 37.47542, 40.65922]                              
191       [32.400528, 37.29473, 40.630653]                            
192       [32.505234, 37.47173, 40.574066]                            
193       [32.608765, 37.32208, 40.527695]                            
194       [32.300262, 37.42778, 40.799644]                            
195       [32.416466, 37.22762, 40.856476]                            
196       [32.424767, 37.495567, 40.788586]                           
197       [32.406807, 37.505325, 40.322365]                           
198       [32.51882, 37.469513, 40.746414]                            
199       [32.243347, 37.365788, 40.93504]                            
200       [32.309906, 37.44747, 40.54641]                             
201       [32.626026, 37.407974, 40.637947]                           
202       [32.715168, 37.49292, 40.684967]                            
203       [32.373318, 37.385117, 40.64702]                            
204       [32.631004, 37.649246, 40.753063]                           
205       [32.437202, 37.540085, 40.906822]                           
206       [32.387707, 37.174194, 40.596035]                           
207       [32.412735, 37.59262, 40.632675]                            
208       [32.55003, 37.307297, 40.5681]                              
209       [32.200428, 37.47229, 40.810165]                            
210       [32.45099, 37.44576, 40.513634]                             
211       [32.53132, 37.521988, 40.603638]                            
212       [32.458107, 37.278137, 40.65636]                            
213       [32.670277, 37.52827, 40.52909]                             
214       [32.643944, 37.719887, 40.566864]                           
215       [32.529232, 37.529903, 40.310593]                           
216       [32.40634, 37.219025, 40.499306]                            
217       [32.466805, 37.34957, 40.698708]                            
218       [32.586697, 37.42878, 40.504055]                            
219       [32.12821, 37.440243, 40.113743]                            
220       [32.558136, 37.27704, 40.727905]                            
221       [32.583027, 37.383892, 40.439453]                           
222       [32.604717, 37.332184, 40.613243]                           
223       [32.240555, 37.357033, 40.748528]                           
224       [32.574757, 37.27434, 40.775894]                            
225       [32.327553, 37.167084, 40.816]                              
226       [32.5268, 37.395073, 40.467987]                             
227       [32.302555, 37.38813, 40.649525]                            
228       [32.370293, 37.432823, 40.838737]                           
229       [32.73699, 37.214043, 40.684547]                            
230       [32.690994, 37.42167, 40.626053]                            
231       [32.592705, 37.373756, 40.22323]                            
232       [32.431576, 37.472656, 40.60466]                            
233       [32.689636, 37.344578, 40.258644]                           
234       [32.502087, 37.197083, 40.618248]                           
235       [32.260273, 37.49198, 40.618584]                            
236       [32.425034, 37.45759, 40.763737]                            
237       [32.5634, 37.34178, 40.381813]                              
238       [32.39454, 37.59236, 40.474663]                             
239       [32.82083, 37.427124, 40.748894]                            
240       [32.58332, 37.53154, 40.393578]                             
241       [32.426937, 37.411594, 40.878544]                           
242       [32.56048, 37.390923, 40.43817]                             
243       [32.383686, 37.280075, 40.414856]                           
244       [32.45932, 37.312187, 40.752]                               
245       [32.549484, 37.144653, 40.72267]                            
246       [32.678947, 37.443657, 40.38025]                            
247       [32.52387, 37.617607, 40.330196]                            
248       [32.606583, 37.68986, 40.2873]                              
249       [32.606987, 37.513752, 40.263115]                           
250       [32.72147, 37.45777, 40.659653]                             
251       [32.49359, 37.0494, 40.48928]                               
252       [32.53247, 37.18347, 40.576046]                             
253       [32.72488, 37.380894, 40.207047]                            
254       [32.566376, 37.413445, 40.512802]                           
255       [32.70901, 37.540947, 40.52211]                             
256       [32.739212, 37.38075, 40.473595]                            
257       [32.59912, 37.1676, 40.582596]                              
258       [32.707745, 37.02556, 40.3123]                              
259       [32.642097, 37.443127, 40.481544]                           
260       [32.645943, 37.09205, 40.511578]                            
261       [32.401543, 37.439297, 40.346695]                           
262       [32.736954, 37.314327, 40.626564]                           
263       [32.401054, 37.194786, 40.454704]                           
264       [32.73648, 37.303467, 40.21735]                             
265       [32.958706, 37.333435, 40.53437]                            
266       [32.405834, 37.608173, 40.736656]                           
267       [32.54234, 37.490448, 40.744324]                            
268       [32.554504, 37.40913, 40.78588]                             
269       [32.38114, 37.20666, 40.52977]                              
270       [32.417725, 37.543488, 40.815002]                           
271       [32.46031, 37.1227, 40.47474]                               
272       [32.645035, 37.544334, 40.103638]                           
273       [32.55809, 37.333557, 40.599934]                            
274       [32.6256, 37.42929, 40.185295]                              
275       [32.51085, 37.633453, 40.337166]                            
276       [32.624004, 37.73931, 40.098755]                            
277       [32.63925, 37.28456, 40.448803]                             
278       [32.643192, 37.31146, 40.28501]                             
279       [32.634594, 37.32611, 40.47458]                             
280       [32.42356, 37.409668, 40.38295]                             
281       [32.682, 37.41137, 40.3568]                                 
282       [32.678978, 37.2132, 40.534706]                             
283       [32.62385, 37.391327, 40.40764]                             
284       [32.756134, 37.464657, 40.500687]                           
285       [32.64934, 37.231018, 40.48922]                             
286       [32.475018, 37.366386, 40.651886]                           
287       [32.408516, 37.260048, 40.727913]                           
288       [32.474007, 37.079086, 40.33587]                            
289       [32.355812, 37.36264, 40.37505]                             
290       [32.330215, 37.35282, 40.281418]                            
291       [32.54415, 37.253464, 40.605324]                            
292       [32.354343, 37.592575, 40.532288]                           
293       [32.52319, 37.261517, 40.26051]                             
294       [32.23665, 37.571167, 40.304657]                            
295       [32.53509, 37.20692, 40.69892]                              
296       [32.430153, 37.518127, 40.466263]                           
297       [32.30417, 37.34762, 40.667007]                             
298       [32.687927, 37.192326, 40.72699]                            
299       [32.551613, 37.54378, 40.533104]                            
300       [32.428665, 37.197777, 40.72455]                            
301       [32.44574, 37.478615, 40.680992]                            
302       [32.42186, 37.289978, 40.515167]                            
303       [32.683376, 37.00472, 40.965675]                            
304       [32.534718, 37.469814, 40.383904]                           
305       [32.619843, 37.42124, 40.690784]                            
306       [32.400276, 37.54145, 40.129578]                            
307       [32.646072, 37.51995, 40.304497]                            
308       [31.989914, 37.338867, 40.636208]                           
309       [32.16019, 37.367115, 40.634056]                            
310       [32.45533, 37.246315, 40.38748]                             
311       [32.566357, 37.31431, 40.46199]                             
312       [32.44082, 37.491142, 40.685066]                            
313       [32.384735, 37.210907, 40.993984]                           
314       [32.554203, 37.06881, 40.71768]                             
315       [32.687553, 37.423225, 40.627052]                           
316       [32.53453, 37.356476, 40.90884]                             
317       [32.621334, 37.377304, 40.807648]                           
318       [32.582283, 37.365387, 40.643227]                           
319       [32.57611, 37.14817, 40.745956]                             
320       [32.40683, 37.552895, 40.740303]                            
321       [32.454567, 37.46808, 40.681217]                            
322       [32.52053, 37.270763, 40.545464]                            
323       [32.58995, 37.494854, 40.487648]                            
324       [32.388485, 37.129425, 41.003513]                           
325       [32.52774, 37.516914, 40.68394]                             
326       [32.522602, 37.184986, 40.725586]                           
327       [32.38484, 37.270367, 40.530254]                            
328       [32.273197, 37.39247, 40.82061]                             
329       [32.334156, 37.559853, 40.823547]                           
330       [32.169212, 37.428474, 40.604435]                           
331       [32.577827, 37.509827, 40.29464]                            
332       [32.567898, 37.63952, 40.487404]                            
333       [32.460426, 37.26168, 40.81868]                             
334       [32.394825, 37.186584, 40.53378]                            
335       [32.38042, 37.651237, 40.439907]                            
336       [32.497387, 37.67994, 40.31346]                             
337       [32.17338, 37.530357, 40.611717]                            
338       [32.2709, 37.42759, 40.603317]                              
339       [32.66048, 37.38414, 40.255127]                             
340       [32.477543, 37.28205, 40.619225]                            
341       [32.58485, 37.396393, 40.414055]                            
342       [32.55064, 37.30882, 40.645115]                             
343       [32.49276, 37.307514, 40.6583]                              
344       [32.244076, 37.298477, 40.72413]                            
345       [32.53575, 37.302116, 40.581245]                            
346       [32.473217, 37.291317, 40.58793]                            
347       [32.43355, 37.474693, 40.6772]                              
348       [32.372772, 37.430374, 40.666]                              
349       [32.371212, 37.482075, 40.399315]                           
350       [32.338646, 37.412064, 40.309967]                           
351       [32.629166, 37.4878, 40.134613]                             
352       [32.517235, 37.312515, 40.446198]                           
353       [32.58461, 37.164734, 40.74092]                             
354       [32.86204, 37.474854, 40.360214]                            
355       [32.54423, 37.324333, 40.515087]                            
356       [32.840134, 37.294975, 40.39453]                            
357       [32.568005, 37.436913, 40.35872]                            
358       [32.414703, 37.298523, 40.76829]                            
359       [32.5944, 37.164257, 40.65854]                              
360       [32.22897, 37.164467, 40.685448]                            
361       [32.27045, 37.48438, 40.362514]                             
362       [32.570656, 37.426727, 40.71189]                            
363       [32.273632, 37.234776, 40.596333]                           
364       [32.38693, 37.35447, 40.685017]                             
365       [32.67905, 37.452766, 40.442043]                            
366       [32.503716, 37.15895, 40.547066]                            
367       [32.463028, 37.653347, 40.35784]                            
368       [32.40624, 37.472397, 40.59265]                             
369       [32.484657, 37.445442, 40.55436]                            
370       [32.365154, 37.535873, 40.508736]                           
371       [32.62639, 37.37243, 40.57312]                              
372       [32.47089, 37.38567, 40.468887]                             
373       [32.683414, 37.583607, 40.346203]                           
374       [32.456856, 37.401596, 40.834213]                           
375       [32.50228, 37.421616, 40.530716]                            
376       [32.547554, 37.087574, 40.613174]                           
377       [32.366768, 37.463852, 41.06888]                            
378       [32.582123, 37.214035, 40.43651]                            
379       [32.531464, 37.353695, 40.689056]                           
380       [32.539486, 37.552345, 40.049114]                           
