#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
164               17.260890                     36.921318                       100.147069
165               26.719912                     20.902592                        56.697142
166                8.273815                     35.801125                        97.108603
167                8.957212                     36.351555                        98.601615
168               16.043667                     21.341551                        57.887793
169                4.619315                     31.821636                        86.314458
170               20.534821                     20.128223                        54.596710
171               10.596243                     35.177715                        95.417637
172               16.341498                     27.368711                        74.236137
173                9.752377                     29.328983                        79.553270
174                2.899823                     28.316509                        76.806986
175               13.757508                     30.036966                        81.473637
176               18.686088                     31.447399                        85.299355
177                9.026804                     33.196190                        90.042859
178               14.238221                     24.354202                        66.059446
179                6.439615                     38.717762                       105.019820
180                4.613842                     37.758965                       102.419138
181               17.767098                     32.108318                        87.092066
182                6.341432                     25.195694                        68.341947
183               13.517225                     28.274321                        76.692557
184               14.889414                     31.022131                        84.145838
185               15.294501                     27.848345                        75.537121
186                6.418296                     30.829418                        83.623117
187               11.764956                     31.264668                        84.803706
188                7.557332                     33.259453                        90.214455
189                7.896402                     31.953276                        86.671519
190               14.310300                     35.827484                        97.180098
191               10.208141                     22.884981                        62.074262
192               19.792416                     27.489231                        74.563044
193               11.051914                     28.364412                        76.936924
194               14.127524                     26.666746                        72.332096
195                5.832875                     20.836908                        56.518978
196               28.617175                     18.738718                        50.827754
197               21.327783                     24.290789                        65.887439
198               19.361462                     30.213938                        81.953663
199               18.576766                     22.353094                        60.631549
200               15.368304                     30.374046                        82.387948
201               14.343960                     37.383770                       101.401436
202                3.520421                     27.779411                        75.350142
203                8.779708                     27.723400                        75.198215
204               14.765091                     18.123505                        49.159020
205               13.147141                     27.959612                        75.838923
206               17.287066                     24.018244                        65.148181
207               18.807513                     19.051529                        51.676232
208                5.701142                     30.074570                        81.575632
209                2.813343                     18.059368                        48.985052
210                6.310903                     26.663126                        72.322279
211               13.847076                     19.904669                        53.990328
212               10.107835                     24.155085                        65.519351
213                6.885668                     28.840029                        78.227007
214               15.392280                     26.287815                        71.304268
215               11.027266                     30.543472                        82.847506
216               16.131501                     27.135910                        73.604679
217               13.939892                     30.081978                        81.595725
218                8.647291                     23.691645                        64.262295
219               16.190114                     18.267717                        49.550188
220                9.437027                     26.545769                        72.003955
221                8.279295                     26.683834                        72.378445
222               14.329851                     21.820433                        59.186733
223               17.921730                     28.448324                        77.164531
224                7.603052                     38.541378                       104.541385
225               23.575527                     25.716476                        69.754541
226                3.883125                     31.962597                        86.696804
227                6.284159                     34.314072                        93.075049
228               19.025414                     31.532026                        85.528904
229                7.523109                     30.355396                        82.337362
230               14.276936                     23.787989                        64.523625
231               10.574101                     30.526592                        82.801718
232               19.610090                     24.239550                        65.748459
233               11.343193                     35.500095                        96.292073
234               14.935622                     31.166758                        84.538132
235                8.825189                     26.814007                        72.731531
236               18.316517                     29.087376                        78.897923
237               12.350981                     37.044056                       100.479984
238               13.272273                     29.177402                        79.142118
239               14.650096                     32.878201                        89.180326
240               17.796330                     22.656361                        61.454147
241               11.228475                     21.925402                        59.471458
242                7.696895                     28.415071                        77.074331
243                8.390798                     33.361633                        90.491611
244               15.282443                     24.439779                        66.291571
245               24.290725                     16.005136                        43.413061
246               37.133016                     10.994144                        29.821017
247               10.784614                     26.798683                        72.689968
248                7.300304                     32.272923                        87.538546
249                7.382088                     26.518970                        71.931261
250               12.170287                     35.201866                        95.483142
251                3.926304                     30.906332                        83.831739
252                9.410099                     31.973797                        86.727184
253               20.453909                     32.582981                        88.379562
254                6.961650                     21.809877                        59.158105
255                8.278584                     28.845402                        78.241581
256               21.967238                     21.346832                        57.902122
257                3.311980                     30.315418                        82.228923
258               16.432708                     24.308620                        65.935808
259               10.117599                     22.997066                        62.378287
260               11.162021                     24.087118                        65.334994
261                9.578423                     33.255596                        90.203995
262                5.316992                     33.443855                        90.714633
263                4.652569                     34.892788                        94.644785
264                3.186043                     26.236372                        71.164727
265                9.350130                     33.483322                        90.821689
266                6.684366                     29.883062                        81.056178
267                4.240301                     23.623747                        64.078128
268               13.348104                     26.640617                        72.261226
269               10.092490                     32.400059                        87.883395
270                6.322481                     27.677034                        75.072449
271                3.409500                     29.446966                        79.873294
272               14.062147                     27.727644                        75.209725
273               24.248027                     20.084036                        54.476851
274                8.621017                     22.109072                        59.969652
275                3.536458                     22.544926                        61.151880
276                8.230368                     25.335482                        68.721116
277               13.505575                     30.053963                        81.519735
278               14.083495                     28.264492                        76.665896
279                6.640891                     26.616390                        72.195506
280               11.894146                     29.439333                        79.852587
281               12.892228                     20.938408                        56.794292
282               12.890453                     18.599466                        50.450039
283                2.628082                     33.565437                        91.044420
284                6.875320                     26.040237                        70.632726
285               15.391341                     29.556293                        80.169839
286                7.634349                     37.814255                       102.569103
287                9.622673                     27.978064                        75.888973
288                8.644088                     26.974365                        73.166496
289               18.579135                     22.172144                        60.140735
290               13.657201                     21.800922                        59.133816
291               10.995082                     31.386824                        85.135049
292               20.512660                     15.662626                        42.484021
293               11.903951                     28.251911                        76.631773
294               16.434410                     22.863216                        62.015229
295               21.707072                     31.093990                        84.340757
296               11.655839                     30.870438                        83.734381
297               14.864553                     32.844349                        89.088506
298               11.012634                     31.780113                        86.201829
299               17.325066                     23.131485                        62.742895
300               23.148366                     32.145832                        87.193817
301               16.328202                     12.474797                        33.837208
302                2.189011                     35.192284                        95.457155
303               20.673507                     30.213989                        81.953800
