#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
164                9.107462                     30.707415                        94.269991
165               18.742692                     20.741955                        63.676602
166                3.543924                     33.127224                       101.698661
167               13.524675                     30.732292                        94.346362
168                7.323247                     29.086355                        89.293432
169               19.557659                     31.009970                        95.198816
170                3.905401                     31.795597                        97.610646
171                5.467445                     35.888203                       110.174716
172                8.145337                     36.267315                       111.338568
173                7.108071                     31.511040                        96.737075
174                5.435416                     28.844868                        88.552082
175               18.215949                     18.254347                        56.039792
176                7.151736                     29.179678                        89.579928
177                5.537606                     40.560856                       124.519491
178                7.900204                     23.953348                        73.535395
179                8.543529                     30.603977                        93.952441
180               13.229229                     20.621161                        63.305771
181               15.772020                     23.440331                        71.960461
182               15.050549                     18.497696                        56.786859
183               20.218804                     23.719810                        72.818452
184               13.973874                     19.412539                        59.595370
185                3.828122                     27.690104                        85.007018
186               11.344599                     23.737478                        72.872686
187               11.984691                     35.133923                       107.859111
188                6.088434                     21.357075                        65.564990
189                5.621205                     25.815315                        79.251528
190                8.000252                     25.181437                        77.305555
191               17.050207                     26.597643                        81.653231
192                7.892423                     26.652735                        81.822360
193               22.742995                     20.036196                        61.509967
194                6.802417                     33.381725                       102.479970
195               15.846030                     33.695435                       103.443038
196               16.339362                     23.048969                        70.759004
197               25.379445                     18.389009                        56.453198
198               15.735127                     27.766998                        85.243082
199                9.610775                     22.617117                        69.433242
200               11.629423                     36.208218                       111.157143
201                7.853730                     32.557037                        99.948227
202                6.802100                     28.347830                        87.026203
203               15.098425                     26.779715                        82.212180
204               11.058859                     30.842915                        94.685966
205                3.637066                     34.095997                       104.672742
206                6.927331                     30.228413                        92.799485
207               13.937879                     25.413212                        78.017092
208                6.472206                     24.708649                        75.854129
209               15.070973                     25.739204                        79.017872
210                6.953192                     17.439943                        53.539622
211               11.478232                     26.513594                        81.395203
212                8.296117                     26.831703                        82.371783
213               16.771276                     29.547134                        90.707999
214                4.179498                     29.131023                        89.430559
215                4.925054                     26.325018                        80.816287
216                8.132722                     26.293886                        80.720711
217               12.394540                     23.850056                        73.218292
218               16.563488                     31.739258                        97.437692
219                2.133500                     27.136234                        83.306676
220               11.112428                     28.257563                        86.749089
221               19.238887                     14.813643                        45.477030
222               14.260448                     23.831833                        73.162353
223                9.134284                     27.018291                        82.944596
224               23.329539                     21.396103                        65.684801
225                4.685001                     38.767628                       119.014382
226               15.699247                     23.368217                        71.739078
227               22.685463                     18.183172                        55.821288
228               11.180106                     34.192097                       104.967761
229                8.866031                     31.429670                        96.487272
230                3.431195                     24.715567                        75.875366
231                6.247926                     27.547380                        84.568870
232                5.126023                     28.876535                        88.649297
233                9.584701                     34.709694                       106.556761
234               12.168748                     23.252779                        71.384692
235               18.397001                     24.035315                        73.787028
236                2.790638                     31.954140                        98.097366
237               16.259136                     25.380234                        77.915853
238               21.922039                     24.181019                        74.234331
239                9.486884                     28.667170                        88.006556
240                2.459015                     27.950703                        85.807043
241               11.877930                     32.018532                        98.295045
242               12.047535                     29.781282                        91.426820
243               23.024074                     19.688854                        60.443646
244               26.515166                     20.648161                        63.388664
245               14.835491                     29.184608                        89.595062
246                5.681375                     33.104195                       101.627970
247               14.431426                     26.180950                        80.374008
248               20.322080                     20.715248                        63.594615
249               12.551538                     29.880089                        91.730148
250               16.057686                     20.501169                        62.937409
251               10.338583                     22.819340                        70.054054
252               11.024552                     41.304447                       126.802266
253               14.027853                     23.772659                        72.980690
254               26.614989                     23.942333                        73.501581
255                8.602018                     36.485970                       112.009823
256               11.299424                     21.649979                        66.464186
257                8.358393                     20.273466                        62.238371
258               16.729269                     17.563465                        53.918827
259               11.177182                     22.794874                        69.978946
260                4.971654                     31.593466                        96.990114
261                6.924216                     29.808533                        91.510475
262                8.346709                     28.831137                        88.509923
263               22.513485                     21.904261                        67.244816
264               23.773303                     25.713367                        78.938556
265               17.169270                     24.608686                        75.547248
266                9.486263                     23.063749                        70.804381
267                6.612155                     28.767656                        88.315046
268               10.540644                     32.768330                       100.596881
269               11.789919                     16.503639                        50.665218
270                8.491395                     22.329479                        68.550211
271                6.324744                     23.819426                        73.124260
272               28.393998                     15.538866                        47.703421
273               18.191254                     21.706682                        66.638261
274               18.840387                     30.184834                        92.665696
275               28.351856                     22.659346                        69.562882
276               21.087455                     31.214499                        95.826709
277               18.374946                     28.431210                        87.282175
278               11.722589                     25.932867                        79.612404
279               19.922152                     23.484062                        72.094715
280               21.214254                     23.717945                        72.812724
281               24.641287                     23.852921                        73.227090
282               12.976829                     28.880095                        88.660222
283               13.767916                     30.088804                        92.370892
284                5.243179                     30.955421                        95.031357
285               12.470175                     17.904047                        54.964393
286                5.035206                     19.700945                        60.480762
287               15.726587                     17.879366                        54.888624
288               23.302757                     17.167484                        52.703184
289               10.136264                     24.774208                        76.055390
290                7.107878                     28.568771                        87.704480
291                7.475985                     29.020565                        89.091462
292               22.935409                     22.376562                        68.694752
293               13.675240                     26.554293                        81.520146
294               11.030533                     33.683094                       103.405154
295                9.231588                     28.617149                        87.852997
296               20.920355                     25.546497                        78.426272
297               30.252419                     17.514523                        53.768575
298               14.872565                     25.512522                        78.321970
299                9.284212                     32.716991                       100.439274
300                9.161350                     34.301304                       105.303025
301               12.465509                     33.155651                       101.785934
302               22.281176                     25.699678                        78.896528
303                6.372553                     26.831308                        82.370567
304                3.489361                     25.691168                        78.870404
305               18.576734                     23.462317                        72.027957
306               16.333339                     36.983479                       113.537145
307                7.872826                     34.609779                       106.250024
308                8.249669                     25.193171                        77.341580
309               17.628707                     23.254704                        71.390599
310               17.206344                     24.020412                        73.741281
311                8.451197                     17.578733                        53.965700
312               22.838650                     25.795706                        79.191327
313               20.953279                     24.069815                        73.892945
314               20.962922                     17.336393                        53.221726
315               40.197910                     10.927456                        33.546659
316               21.647939                     22.894197                        70.283866
317                5.537323                     24.123077                        74.056458
318                6.164338                     23.695446                        72.743654
319                6.236651                     21.148430                        64.924461
320               15.224249                     21.434107                        65.801471
321               18.961900                     17.552044                        53.883761
322                7.819892                     14.676192                        45.055065
323               13.834056                     30.465181                        93.526351
324                5.757281                     22.390713                        68.738198
325               18.741534                     21.405643                        65.714091
326                4.641061                     22.703424                        69.698203
327                6.786772                     22.107563                        67.868942
328                7.737154                     31.016903                        95.220101
329               23.036810                     17.530571                        53.817838
330               21.917109                     24.003876                        73.690516
331               14.165992                     18.950994                        58.178461
332               19.606132                     24.370422                        74.815792
333                8.757821                     30.092920                        92.383528
334               11.795350                     23.779875                        73.002845
335               19.623894                     26.547722                        81.499976
336                6.945966                     23.334534                        71.635669
337               17.326189                     24.015297                        73.725575
338               24.148614                     17.971935                        55.172807
339               17.204462                     22.517021                        69.125956
340                8.451406                     25.711187                        78.931862
341               16.849295                     23.700422                        72.758931
342                7.481232                     28.096930                        86.255950
343                7.165220                     24.946676                        76.584858
344                9.088824                     29.199114                        89.639592
345               11.154256                     27.809221                        85.372704
346               13.163812                     25.806839                        79.225504
347                2.244807                     32.625549                       100.158548
348               12.652483                     32.690502                       100.357950
349                4.949418                     32.519909                        99.834245
350               16.436016                     23.269886                        71.437210
351               17.802161                     27.309607                        83.838916
352               11.747910                     27.136147                        83.306402
353                5.917914                     25.812468                        79.242784
354                3.259186                     31.295130                        96.074241
355                7.493210                     29.149076                        89.485985
356               18.112327                     27.767723                        85.245305
357                4.361747                     22.656490                        69.554120
358               11.230667                     26.970863                        82.798994
359               15.886815                     21.485098                        65.958011
360               28.170908                     20.726290                        63.628513
361                5.791225                     27.377773                        84.048182
362               18.057077                     24.253281                        74.456173
363                4.200019                     20.298105                        62.314010
364                8.257210                     26.476803                        81.282258
365               11.950418                     26.693464                        81.947392
366               15.922568                     28.173979                        86.492491
367               22.654185                     18.887928                        57.984847
368               17.438503                     23.953362                        73.535436
369               11.418494                     28.953550                        88.885731
370                4.549628                     25.913189                        79.551995
371                8.646269                     33.098610                       101.610827
372               15.770939                     29.641293                        90.997058
373                9.278833                     18.374254                        56.407899
374               15.111491                     17.486086                        53.681272
375               22.362523                     21.783211                        66.873199
376                9.296735                     20.248793                        62.162626
377                8.409430                     27.986721                        85.917616
378               19.655047                     24.467787                        75.114691
379               20.257771                     16.504868                        50.668991
380                8.508124                     26.417381                        81.099838
381                6.157847                     25.281862                        77.613860
382                3.074534                     25.037014                        76.862186
383               20.247698                     20.278774                        62.254667
384               23.800389                     15.603061                        47.900495
385               12.140477                     27.278765                        83.744234
386                8.707277                     24.827709                        76.219636
387                5.849385                     30.074560                        92.327166
388                9.195670                     26.423908                        81.119871
389               11.692665                     31.861252                        97.812206
390               16.638578                     23.401339                        71.840757
391                6.659028                     31.312996                        96.129090
392                4.129056                     27.210011                        83.533162
393                5.889892                     31.805613                        97.641397
394               10.716360                     27.246065                        83.643848
395                6.223371                     38.852055                       119.273567
396               14.207043                     31.111017                        95.509028
397                3.412256                     28.721064                        88.172007
398               15.965149                     28.585619                        87.756199
399               24.093619                     21.034414                        64.574438
400               19.275470                     22.033613                        67.641920
401               18.328435                     27.791586                        85.318565
402               15.079311                     19.711113                        60.511982
403               14.708221                     21.288952                        65.355855
404               16.797944                     18.987913                        58.291799
405               29.733107                     18.010042                        55.289793
406               16.182297                     22.812189                        70.032102
407               20.678778                     22.244123                        68.288177
408               14.789660                     26.931976                        82.679611
409               17.427548                     12.363971                        37.956676
410               19.349251                     22.280632                        68.400252
411                6.567607                     23.814091                        73.107886
412               13.355868                     25.016548                        76.799357
413                9.957043                     25.872038                        79.425663
414                3.484420                     32.154354                        98.712009
415               17.937638                     25.545031                        78.421772
416               15.882073                     28.462414                        87.377965
417               19.786515                     20.107622                        61.729240
418               17.288882                     23.934248                        73.476762
419               13.934674                     21.058153                        64.647317
420                4.416501                     25.941179                        79.637921
421               13.808811                     26.283073                        80.687517
422               14.374269                     23.974873                        73.601478
423                6.065337                     18.784435                        57.667130
424                2.024874                     27.880999                        85.593057
425                5.140375                     24.098732                        73.981714
426               18.751119                     32.489250                        99.740124
427                6.414537                     21.162577                        64.967889
428               10.896738                     24.278244                        74.532807
429               11.704455                     31.994022                        98.219800
430                8.871658                     28.755508                        88.277751
431               11.919157                     27.370588                        84.026128
432               20.766461                     20.640160                        63.364100
433               25.650341                     17.206512                        52.823001
434               21.886081                     22.461872                        68.956649
435               10.279826                     30.348312                        93.167567
436               18.528896                     15.091416                        46.329778
437               14.220062                     25.319292                        77.728766
438                7.565974                     26.525534                        81.431860
439               19.673426                     22.062265                        67.729884
440               17.212150                     22.748875                        69.837731
441                9.726234                     33.228779                       102.010429
442               21.016246                     25.947229                        79.656500
443               19.848033                     28.912941                        88.761061
444               29.622699                     20.969454                        64.375013
445               34.963526                     12.803073                        39.304695
446               11.353086                     18.165684                        55.767602
447                6.204282                     23.463963                        72.033012
448               16.472668                     20.435518                        62.735862
449                8.069616                     25.801962                        79.210532
450               31.311964                     16.560740                        50.840515
451                2.879908                     25.574715                        78.512901
452               19.281242                     23.146967                        71.059853
453               24.079670                     16.290646                        50.011343
454               25.567576                     25.361349                        77.857876
455               10.203708                     27.089577                        83.163440
456                9.143444                     30.895243                        94.846612
457                7.826014                     24.764088                        76.024318
458                8.689505                     22.383284                        68.715388
459               14.178643                     27.322880                        83.879662
460               10.136769                     24.490637                        75.184840
461                7.854304                     24.932051                        76.539958
462                6.104641                     30.467289                        93.532819
463               15.604792                     24.333586                        74.702704
464                4.618722                     28.722162                        88.175380
465               10.448791                     19.345255                        59.388816
466               12.602603                     34.864380                       107.031631
467               25.204474                     21.195890                        65.070158
468               24.015407                     23.395428                        71.822613
469                7.532311                     20.836298                        63.966233
470                6.360850                     24.690413                        75.798142
471               13.529332                     26.749151                        82.118350
472                7.688858                     17.652277                        54.191470
473                3.183154                     23.889675                        73.339927
474                7.367269                     28.578508                        87.734371
475                3.973058                     21.291639                        65.364105
476                7.052130                     32.843735                       100.828373
477                6.523087                     37.883419                       116.299915
478                6.307733                     28.847689                        88.560742
479                3.146098                     27.465340                        84.317011
480                6.231210                     32.957035                       101.176190
481                1.954246                     31.798576                        97.619796
482                2.852453                     31.077528                        95.406216
483                5.327228                     38.123184                       117.035973
484               12.168537                     27.788803                        85.310024
485               22.502878                     28.041069                        86.084461
486               10.301982                     25.759466                        79.080075
487                9.690713                     36.706829                       112.687850
488                6.442994                     31.768131                        97.526330
489                9.170140                     42.812027                       131.430447
490                6.662472                     26.843901                        82.409227
491               18.868888                     34.915680                       107.189119
492               31.898161                     21.372368                        65.611935
493               17.318310                     24.948227                        76.589620
494                9.559090                     25.101870                        77.061290
495               14.529964                     23.413885                        71.879274
