@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
127               28.274870     -28.272650      -0.291223       0.201781
128               26.973412     -26.500921      -3.333019      -3.762596
129               24.488789     -21.282478      -8.199448      -8.917730
130               34.136768     -28.071722      -2.804616     -19.220600
131               31.367058     -30.680346      -5.133640       4.031673
132               26.783819     -25.743710      -3.240797      -6.643160
133               23.773947     -23.274536      -1.930024      -4.446513
134               24.364536     -22.813164      -7.584092      -3.958758
135               30.463331     -29.154650      -5.961835      -6.517476
136               30.006956     -25.987921      -5.480213     -13.964693
137               21.990526     -21.884121      -2.109064      -0.469390
138               26.502460     -25.831984       0.345077      -5.913543
139               34.141586     -33.895782       0.261541      -4.081113
140               27.541174     -22.720854      -8.954912     -12.731402
141               38.153313     -28.762020      -9.800450     -23.073200
142               28.077171     -21.330376     -18.010799       2.992280
143               25.594763     -22.927959      -7.292255      -8.730609
144               26.004204     -24.425224      -3.271890      -8.301914
145               21.570255     -21.457411       1.033560      -1.946074
146               21.575895     -20.349760      -6.846219      -2.129742
147               31.262508     -22.943569     -16.662762     -13.163949
148               33.816952     -27.555939      -1.661573     -19.531912
149               33.880661     -29.119478     -12.877600      11.581137
150               28.340935     -28.172985       0.179442      -3.075585
151               29.598513     -27.317772      -5.353632     -10.057330
152               23.768904     -12.787389     -11.499937     -16.407162
153               23.013365     -20.189146      -8.486172      -7.070939
154               35.250317     -31.870844       1.648673     -14.970499
155               33.118526     -31.859066       4.472460      -7.863442
156               26.268576     -24.861746      -8.254746      -1.947025
157               36.073421     -32.400337     -15.509706      -3.310439
158               29.021370     -23.587568      -4.510680     -16.294794
159               27.447636     -22.075983      -8.211233     -14.092528
160               23.960472     -22.492554      -4.642510      -6.829076
161               28.588795     -25.680779     -11.930591       3.934192
162               35.155972     -32.804504     -11.491235      -5.268615
163               27.140074     -24.116575     -12.414992      -0.917798
164               31.501034     -30.244827      -8.805555       0.166822
165               23.259811     -17.578896      -4.270893     -14.620558
166               33.234219     -31.320240      -9.458755      -5.838464
167               32.564667     -26.367985     -16.187981     -10.155590
168               29.560829     -29.118435      -1.210788      -4.949078
169               35.152184     -32.963818      -7.398767       9.711897
170               31.925262     -31.148607      -4.203009      -5.596548
171               36.200912     -33.098763     -12.186458      -8.152797
172               37.008160     -33.567989      -5.577361     -14.549471
173               31.993555     -28.494698      -9.236630     -11.239409
174               29.092997     -27.264832      -4.165904      -9.256171
175               20.333712     -14.853463      -8.066740     -11.303192
176               29.632339     -26.549162     -11.097937      -7.074841
177               40.924236     -39.600731      -9.803664      -3.234731
178               24.412092     -24.064415      -0.636635      -4.055717
179               31.295309     -30.728577      -0.159143      -5.926687
180               21.794067     -21.685612       1.699625      -1.351614
181               25.386135     -20.095121     -14.424961      -5.706343
182               19.885138     -16.948128     -10.387197      -0.534535
183               27.136330     -21.871628     -15.861351       2.535722
184               20.653778     -16.668709     -10.673752      -5.899464
185               27.797802     -27.140808      -4.660423      -3.791416
186               24.712011     -20.611694      -9.586991      -9.691809
187               36.753906     -31.277483     -18.013256      -6.934786
188               21.591999     -20.821573      -1.568884      -5.496825
189               26.054253     -24.673721      -7.882004      -2.811674
190               25.676682     -23.657820      -9.622050      -2.648717
191               29.215279     -22.323921     -17.107409      -7.906433
192               27.162107     -25.816916      -8.370017      -1.099888
193               23.825607     -15.876799     -16.505617      -6.568973
194               33.847267     -30.276762     -11.919250      -9.321305
195               36.521126     -30.361967     -20.196625      -2.009979
196               25.115341     -21.512970     -12.912989       1.107780
197               22.917294     -13.492057     -14.001661     -12.129312
198               30.060270     -28.365578      -8.434991       5.278705
199               23.271717     -21.429634      -1.349713      -8.973398
200               37.774712     -36.460361       2.722149      -9.495296
201               33.172832     -32.305676      -0.717922      -7.500988
