@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
108               22.364141     -18.731106      11.963494      -2.485016       1.000000
109               10.236295      -8.509507       5.523035      -1.366060       1.000000
110               24.170544     -20.289604      12.958713      -2.149182       1.000000
111               18.921583     -15.534859      10.751869      -1.044900       1.000000
112               12.157804      -9.698231       6.761875      -2.834357       1.000000
113               19.304539     -15.515251      10.877381      -3.691176       1.000000
114               11.274919      -9.720001       5.643042      -0.895231       1.000000
115               15.041099     -12.944587       7.579066      -1.109084       1.000000
116               18.874262     -16.451687       9.136940      -1.447785       1.000000
117                8.360464      -7.321335       3.945211      -0.854815       1.000000
118               14.071496     -11.228186       8.479921       0.160526       1.000000
119               20.550791     -15.123749      11.490096      -7.847606       1.000000
120               18.792597     -15.926647       9.974259      -0.133327       1.000000
121               19.634132     -16.860376       9.646226      -2.859580       1.000000
122                7.140391      -5.594016       4.334087      -0.952816       1.000000
123               21.810701     -16.922073      12.368484      -6.030809       1.000000
124                9.963318      -8.164957       5.669687      -0.675153       1.000000
125                6.747583      -5.329730       4.020533      -0.979373       1.000000
126               26.402607     -22.444668      13.884723      -0.740945       1.000000
127               25.496088     -23.112774      10.656405      -1.513692       1.000000
128               18.086187     -13.290258      11.697893      -3.693036       1.000000
129               13.945879     -10.974852       8.055742      -3.024101       1.000000
130               25.431366     -20.018095      14.277063      -6.495826       1.000000
131               23.493387     -19.905300      12.417332       1.236176       1.000000
132               20.960209     -17.285809      10.968410      -4.497243       1.000000
133               17.628117     -13.396155      10.594389      -4.364907       1.000000
134               14.576087     -12.216633       7.700500       1.979521       1.000000
135               22.045151     -17.879633      11.743705      -5.328490       1.000000
136               22.009281     -19.121794      10.419983      -3.192085       1.000000
137               17.038361     -14.173176       9.455057      -0.169473       1.000000
138               22.712027     -19.375353      11.695414      -1.910287       1.000000
139               26.433886     -19.732134      16.431492      -6.276881       1.000000
140               15.203293     -13.006521       7.858068      -0.470424       1.000000
141               16.799458     -14.035446       9.127021       1.387631       1.000000
142                8.866260      -7.597301       4.497979      -0.812261       1.000000
143               16.210499     -13.611499       8.659807      -1.585894       1.000000
144               19.362377     -15.664639      10.874360      -3.356941       1.000000
145               19.122345     -16.461948       9.647141      -1.265292       1.000000
146               14.366981     -12.577011       6.808058       1.370860       1.000000
147               12.689059     -10.257607       6.837217      -3.007685       1.000000
148               23.371317     -20.834620      10.576277       0.528663       1.000000
149               14.466745     -11.843103       7.681789      -3.165082       1.000000
150               20.933121     -14.891250      13.736929      -5.267162       1.000000
151               21.487289     -18.354639      11.007145      -1.911436       1.000000
152                8.427925      -6.544323       4.680349      -2.509198       1.000000
153               14.238234     -12.758080       6.318916       0.173111       1.000000
154               30.049788     -25.627869      15.148326      -4.090274       1.000000
155               30.810211     -26.962797      14.562409      -3.195761       1.000000
156               17.536226     -14.976823       8.582704      -3.090501       1.000000
157               21.303301     -18.543034      10.087946      -2.867032       1.000000
158               18.800800     -15.573880      10.338470      -2.010066       1.000000
159               16.722471     -14.193622       8.468446      -2.543137       1.000000
160               16.765884     -13.433135       9.457500      -3.346862       1.000000
161               14.268513     -11.714776       6.558569      -4.831112       1.000000
162               20.452454     -16.494869      11.831590      -2.497131       1.000000
163               16.213041     -14.490600       7.093853      -1.600783       1.000000
164               19.824352     -16.230824      11.066793      -2.662971       1.000000
165               14.413990     -10.972159       8.649291      -3.544656       1.000000
166               23.544491     -21.156145       6.478321       8.049338       1.000000
167               13.483682     -10.865446       7.727568      -2.009089       1.000000
168               19.687466     -12.927948      13.744777      -5.616546       1.000000
169               20.144627     -16.026468      11.608483      -3.768482       1.000000
170               22.868927     -17.809460      13.607008      -4.545364       1.000000
171               21.648756     -17.863211      11.912171      -2.770286       1.000000
172               25.160643     -21.533041      12.959244       1.201728       1.000000
173               19.662243     -16.540886      10.568226      -1.146953       1.000000
174               19.443552     -14.644567      12.364729      -3.271366       1.000000
175                7.719007      -6.689561       3.759430       0.836379       1.000000
176               20.316118     -18.574392       8.115743      -1.367954       1.000000
177               25.454254     -19.668148      15.182293      -5.530002       1.000000
178               20.410683     -17.339937      10.660897      -1.505919       1.000000
179               24.208429     -17.892645      14.948513      -6.514853       1.000000
180               19.369053     -16.345602      10.037046      -2.690568       1.000000
181                7.308808      -5.829771       4.408153       0.025209       1.000000
182               10.848145      -9.791516       4.607467       0.761373       1.000000
183               13.900982     -12.806176       5.333777      -0.888796       1.000000
184                9.018781      -7.609539       4.757439      -0.894479       1.000000
185               18.868212     -15.248081      10.971788       1.767850       1.000000
186               12.682928      -9.963690       7.369393      -2.696961       1.000000
187               15.661200     -12.669703       9.044332      -1.718094       1.000000
188               16.913019     -13.815607       9.454847      -2.405222       1.000000
189               17.293444     -14.631959       8.818521      -2.683771       1.000000
190               14.423785     -11.790259       7.992291      -2.271265       1.000000
191               10.395031      -8.431023       5.683952      -2.160376       1.000000
192               14.944440     -11.471438       9.094954      -3.004028       1.000000
193                2.758129      -1.948433       1.754202      -0.856538       1.000000
194               20.566671     -17.519770      10.584007      -2.006101       1.000000
195               11.713390      -9.030822       7.030903      -2.492825       1.000000
196                9.668811      -7.769136       5.584011      -1.394720       1.000000
