Frame,PC1,PC2
0,6.232812,-2.1694283
1,5.7077575,-1.6662275
2,5.951015,-1.9589599
3,6.968674,-5.8891087
4,6.526275,-5.7727947
5,6.0941453,0.13930276
6,8.469849,-4.2871685
7,5.3599634,-2.837572
8,7.9145865,-3.612629
9,5.231422,-4.985824
10,6.9011908,-0.7255476
11,7.2900853,-1.2432247
12,5.467767,-2.918604
13,7.471737,-2.280714
14,7.9215918,-3.0038817
15,5.786759,3.7388723
16,7.329713,-1.6614864
17,7.729582,-1.0622491
18,5.3988647,0.2574022
19,7.6350284,-0.17590167
20,7.684084,-3.0613756
21,5.582977,-1.043939
22,6.245374,-3.3413272
23,7.356897,-1.1155717
24,7.7806506,-2.748787
25,8.526992,1.768527
26,8.30146,-1.4379202
27,9.401219,-4.6282825
28,8.109372,-1.4940873
29,5.6452355,1.3514155
30,8.00428,-2.08332
31,6.6254654,-1.2389071
32,6.923926,0.012691389
33,8.260235,-0.39204702
34,8.34234,-4.5037265
35,8.289977,-1.7971265
36,7.7482295,2.1713157
37,8.26648,2.0640416
38,6.835198,1.0617465
39,6.1768103,3.4900832
40,6.386197,1.6639115
41,5.879045,0.33657286
42,5.419768,-2.5875163
43,6.5102034,-0.3226608
44,5.5854335,-0.056675088
45,6.4377995,-4.08904
46,6.5704994,0.14636788
47,6.186402,1.5933359
48,7.5232635,-0.39853787
49,6.870361,2.6206963
50,6.325985,1.6320004
51,6.631588,3.4685297
52,6.199069,4.7254925
53,6.299788,3.742075
54,4.9033284,3.096476
55,6.0108786,2.1375573
56,6.3130946,-1.531369
57,6.2419844,-0.90133727
58,6.4267797,4.190784
59,5.982443,2.7475226
60,9.093674,0.40376762
61,7.8190656,2.1355805
62,7.3680024,2.953447
63,8.097242,1.986284
64,7.7048993,2.406947
65,7.264251,2.9178534
66,6.0448823,1.3839824
67,5.843883,1.6447768
68,8.773724,2.3613179
69,7.5177636,4.2675796
70,7.6557136,4.0036144
71,6.911004,5.364284
72,5.7378573,5.6301885
73,7.2326026,6.001947
74,6.231642,3.6443224
75,7.198279,5.1475616
76,5.8015337,6.630091
77,5.9351707,4.7269444
78,6.010617,4.276889
79,9.098827,4.4627714
80,8.4796,2.4841216
81,8.584007,2.6517203
82,7.6625247,3.1167266
83,7.0199823,3.9388206
84,9.285749,3.847068
85,8.600142,1.8060975
86,10.0004015,7.6449876
87,10.286199,3.5323396
88,9.565455,1.0845573
89,5.4684706,4.320388
90,8.289607,4.8469815
91,6.2646914,2.5119061
92,5.443862,3.8507645
93,5.668194,3.4340549
94,5.7187057,7.503384
95,6.179133,3.5152752
96,7.3002167,5.3112655
97,5.6922145,5.9844494
98,6.420341,3.8453574
99,6.3028297,2.0966823
100,6.6472483,5.693088
101,7.239863,4.405634
102,8.430602,7.5183487
103,8.093874,4.542699
104,7.056496,4.711933
105,7.245483,5.1522174
106,6.3921123,4.039052
107,6.167572,5.0731087
108,5.2851996,4.6846576
109,5.8367896,4.3704195
110,6.731121,5.32219
111,5.2604756,7.630817
112,6.995773,5.7933393
113,7.010998,5.2858663
114,6.5080004,3.8396986
115,7.208946,4.9131436
116,6.0688725,4.150733
117,5.226995,3.8177323
118,6.908992,6.2635407
119,6.513421,4.9178886
120,5.850279,7.309293
121,6.345488,5.428797
122,7.158591,6.790242
123,7.344305,3.099307
124,7.663305,7.2357516
125,7.179456,5.008834
126,8.5769415,3.5657163
127,9.102977,5.452168
128,7.0695615,6.4719076
129,7.346801,4.367791
130,6.0594177,3.7161162
131,7.160117,4.3135123
132,6.196711,6.5117116
133,6.333173,2.720195
134,5.673339,2.11111
135,6.739414,3.4195576
136,6.6291385,3.5495844
137,6.449228,4.752645
138,6.8688354,6.262602
139,5.088874,5.938847
140,6.2031536,4.689792
141,6.527415,6.374185
142,8.552448,5.112131
143,7.647972,2.7418318
144,6.644663,0.8633068
145,6.3643637,4.2790422
146,6.6031647,6.3919053
147,6.0788574,5.6118355
148,8.81679,5.2722554
149,5.1896305,3.4314914
150,5.572034,5.455656
151,4.6535134,7.4842134
152,6.760999,3.1962378
153,7.049546,4.1446967
154,4.2339563,4.716025
155,6.6701536,3.8487463
156,6.914854,3.408327
157,6.286414,3.356977
158,8.4410515,4.0429897
159,7.9734154,1.8630645
160,6.6634016,1.2064751
161,6.451159,1.9881041
162,6.384774,5.5003066
163,6.6302805,3.9871533
164,6.1368113,3.4052958
165,7.0529213,8.689269
166,8.467421,3.4768221
167,6.101016,2.650349
168,5.8074346,1.4607073
169,5.869834,4.846119
170,5.1663747,7.4475207
171,6.2334366,6.858466
172,7.145551,1.2596709
173,5.620033,4.5850754
174,7.9271264,3.7306497
175,7.957883,3.0344298
176,7.6010876,4.460531
177,6.1858397,0.749041
178,4.9780865,3.2484248
179,5.7482605,3.1043074
