PC,Combined_ExplainedVariance,Dark_Variance,White_Variance,Dark_Fraction_Total,White_Fraction_Total,Dark_Fraction_of_PC,White_Fraction_of_PC
1,0.2138279673721674,12.215782155127549,175.24928679512513,0.016674841186183093,0.23921955943475592,0.06516297795387807,0.9348370220461218
2,0.12573604502817656,55.177950601445346,43.53206225791209,0.0753192510781599,0.059422328872574745,0.5589904104263789,0.44100958957362113
3,0.0637106838548152,11.892088936417345,55.76277904000093,0.01623299203182735,0.07611755618955093,0.17577580582320318,0.8242241941767968
4,0.04170333044055441,33.67544938855994,12.036039699168013,0.04596781141777986,0.016429488341029277,0.7366955236118243,0.2633044763881756
5,0.03442927367482602,25.376364082680247,10.682331005606242,0.03463935715191507,0.014581642890705574,0.7037515922456009,0.29624840775439903
6,0.02635192002401756,18.505564012483873,11.010540931273907,0.025260547138963925,0.015029657460443137,0.6269649754852741,0.3730350245147259
7,0.025195716830231096,4.522880164134163,23.60701101985179,0.006173841959797737,0.032224146979509774,0.1607855549298744,0.8392144450701255
8,0.01971788792368675,10.726737177927609,11.717465869273274,0.01464225840117735,0.01599462727752062,0.47792907395147577,0.5220709260485242
9,0.019286026617470635,9.301991647817838,12.585621121446382,0.012697445932879317,0.017179680413791625,0.42498886223353705,0.575011137766463
10,0.01827154452376641,12.30991734800062,8.335730761685046,0.016803338025047423,0.01137847620862619,0.5962475618397064,0.40375243816029366
11,0.01471924511135723,10.90203487783016,5.685443539110515,0.014881544045686921,0.007760769378805995,0.6572448568611845,0.3427551431388156
12,0.013617964501803336,8.231783957686105,7.418635683274132,0.011236586280786727,0.010126619013488408,0.5259784815061381,0.4740215184938618
13,0.012337748324483934,8.059840795199273,5.886945802870678,0.011001879661831958,0.008035824893400838,0.5778994851985938,0.4221005148014061
14,0.01099681242607773,6.005846656256062,6.547293966654986,0.0081981274641184,0.00893721627537379,0.4784337909267616,0.5215662090732385
15,0.010226381374618659,7.385571612602024,4.1980756239674255,0.010081485748960218,0.0057304758244939745,0.6375860263843199,0.36241397361568006
16,0.009339925521744397,5.7380728458311605,5.004285686531171,0.007832609668699943,0.006830972263054836,0.5341539130857246,0.4658460869142754
17,0.008912959892981116,6.07149126051491,4.329335532764547,0.008287733953235977,0.0059096488078944805,0.583750828774308,0.4162491712256921
18,0.00816125750159575,5.191075637813607,4.39776520512565,0.007085945111559842,0.006003056983036585,0.5413663364363853,0.4586336635636146
19,0.0076700747325475745,4.321056915540166,4.52407371942832,0.005898348293060086,0.006175471191943846,0.488523809751009,0.511476190248991
20,0.006787578782055963,4.17755228726106,3.6129732892815416,0.00570246096831503,0.00493179683819126,0.5362349749341351,0.463765025065865
21,0.006529439295755603,3.9323614402536533,3.6412284361291927,0.005367769469871922,0.0049703658041726235,0.5192202778917511,0.48077972210824904
22,0.005860375230755492,3.948614652855258,2.9287975649065605,0.005389955502289279,0.003997880253684562,0.5741425012532247,0.42585749874677525
23,0.005490252770526905,3.5232773773939456,2.8552375753494084,0.004809359726364758,0.0038974690701887972,0.5523664055813822,0.44763359441861794
24,0.005308660649432254,3.7839006026939184,2.52626949010736,0.005165116798332818,0.003448419594103357,0.5996511262050828,0.4003488737949172
25,0.004933956751065806,3.4881214907363614,2.2852483468128195,0.004761371081893998,0.0031194198431327013,0.6041742671758377,0.39582573282416234
26,0.0044276351510263105,2.8016021522329364,2.6689509062770203,0.0038242554068258256,0.003643183214200341,0.5121241165689422,0.4878758834310578
27,0.004167525167547722,2.89205972226197,2.048273391688178,0.003947732200629736,0.002795943237899722,0.5853977162178772,0.4146022837821229
28,0.0038463690058404294,2.8562594742803644,1.7509212414141462,0.003898863987203986,0.002390050285715052,0.6199582023232612,0.3800417976767389
29,0.003634004842973233,2.6733921155141833,1.8081637231918213,0.0036492455733488477,0.002468187672304339,0.5965321445790784,0.4034678554209216
30,0.0033824695573736077,2.6370446238424416,1.6251429622626794,0.0035996303589118416,0.0022183598607477275,0.6187068425705379,0.38129315742946224
