Frame,PC1,PC2
0,6.759801,-5.096963
1,7.4304624,-5.291787
2,5.8563194,-6.6720386
3,6.8403273,-4.602849
4,6.715518,-8.534058
5,6.129152,-9.207127
6,5.510578,-6.5494366
7,5.6611223,-5.5725117
8,6.695579,-6.383814
9,5.808659,-7.139647
10,4.534452,-7.4282346
11,5.79999,-7.106101
12,5.6686172,-6.665651
13,6.3470106,-4.9827456
14,6.814416,-5.4224234
15,7.6318216,-9.829976
16,4.361603,-6.356598
17,7.657234,-6.0999155
18,6.0522385,-8.120895
19,5.8182693,-7.538347
20,5.054845,-7.1308684
21,7.046974,-6.8734574
22,5.5660625,-5.436337
23,6.5446534,-6.705258
24,6.1550627,-8.961862
25,6.4789767,-6.840746
26,5.956559,-5.430886
27,6.7706704,-6.0440683
28,7.0660567,-6.2588096
29,6.3096795,-4.2549176
30,5.6924496,-2.9457276
31,6.848849,-8.274827
32,6.746471,-6.638835
33,5.0175996,-5.561883
34,6.3358436,-4.2089267
35,7.144992,-7.7955155
36,5.568172,-4.536235
37,6.6000953,-6.927544
38,6.3509903,-5.166345
39,6.3451138,-6.698437
40,8.074721,-5.7825084
41,8.181321,-6.873361
42,7.5065937,-4.1937146
43,7.8292522,-5.3175387
44,7.646178,-4.150536
45,8.49446,-5.5241256
46,6.6141624,-9.073557
47,4.8954167,-3.9228864
48,7.362815,-7.2804127
49,5.453889,-7.1844363
50,3.1281157,-8.878965
51,7.3182087,-8.314212
52,5.8036814,-8.812062
53,6.3169823,-6.139276
54,5.955631,-8.258063
55,6.5074697,-6.2909575
56,6.987961,-4.7278543
57,6.9474125,-4.8945136
58,6.4314933,-4.8571935
59,6.700739,-4.20954
60,5.2680535,-4.9956264
61,4.5674734,-3.0866985
62,6.905225,-4.580804
63,6.679808,-5.032682
64,7.691059,-4.49195
65,6.941499,-3.0779808
66,8.161374,-4.18414
67,6.6549635,-5.1065426
68,4.487596,-3.311921
69,4.9741797,-6.560595
70,8.064215,-5.096785
71,5.470604,-5.405491
72,5.4459233,-4.961553
73,6.43748,-5.622424
74,5.9959583,-3.2948093
75,6.0769987,-4.464469
76,6.7732854,-2.6743312
77,6.561406,-4.3422284
78,5.731677,-6.1951666
79,6.503677,-5.000182
80,7.7579336,-5.6307564
81,6.793124,-5.138577
82,6.1940064,-3.7176015
83,6.336821,-6.820771
84,7.1621556,-2.8924706
85,8.511359,-4.4522777
86,8.214151,-2.934281
87,6.237473,-2.3662484
88,7.528837,-4.6930795
89,6.6953635,-3.6213129
90,4.788509,-0.23369916
91,5.685334,-1.9702084
92,8.241665,-1.1332716
93,7.049199,-1.7181146
94,7.8181596,-2.6947203
95,8.516025,-4.9093814
96,7.300028,-3.785887
97,6.7158246,-4.1699033
98,6.2023177,-1.4815369
99,8.734907,-0.9760635
100,9.233501,-2.6754487
101,6.2902293,-2.4321353
102,8.701326,-3.9346457
103,8.702396,-4.547927
104,5.0870934,-4.52837
105,4.0160375,-4.5538335
106,5.1925426,-4.1814346
107,6.134264,-5.520646
108,5.8675013,-3.6235244
109,4.463754,-5.137171
110,5.2780886,-1.0395601
111,2.0363514,-3.5138092
112,4.912542,-4.812736
113,6.315725,-2.4894912
114,5.4693813,-5.0183344
115,4.453894,-4.474822
116,4.5480585,-4.8664074
117,5.435242,-4.6712008
118,4.705258,-4.5617704
119,5.0868835,-4.4448404
120,4.7789497,-6.1299396
121,4.982639,-4.1159534
122,4.996447,-4.3857718
123,4.805947,-3.274376
124,5.4712625,-4.545574
125,4.701708,-3.1762598
126,3.7222397,-2.7609727
127,6.313955,-3.195348
128,7.1147575,-3.3167517
129,4.9529953,-5.0131865
130,6.0115056,-4.547712
131,5.4578047,-5.039622
132,6.1218085,-7.3585854
133,7.1320934,-5.832314
134,6.654098,-3.9410877
135,5.5045547,-1.4262081
136,7.0540123,-2.42083
137,6.3328104,-3.9870555
138,4.6374493,-1.9023081
139,6.1760993,-2.8955572
140,7.1498895,-3.1946502
141,7.163471,-0.7938709
142,2.9038794,-1.8266385
143,6.663035,-6.486617
144,5.7536254,-5.00846
145,4.608928,-3.8735037
146,5.372513,-2.8064368
147,6.4773016,-1.6038247
148,6.2384825,-2.5957532
149,7.6161823,-5.8470836
150,5.5488386,-4.1679554
151,6.2754145,-5.4117613
152,5.28319,-4.0877867
