Frame,PC1,PC2
0,5.4490576,10.149127
1,6.3699265,16.222584
2,5.368851,13.329379
3,4.9543867,14.262951
4,4.9645424,9.43106
5,5.2541533,10.606393
6,4.1489873,14.253701
7,5.4811435,11.074482
8,6.4980474,11.859332
9,5.704109,11.745799
10,4.804357,9.732068
11,5.789955,13.096238
12,5.2627897,11.488943
13,5.992836,12.89799
14,5.1978154,13.623588
15,6.43177,12.146397
16,6.9018474,13.979062
17,5.77739,10.055654
18,4.8774433,10.954285
19,5.1699133,13.555289
20,5.8370256,9.013261
21,5.527518,12.075326
22,5.5288653,13.926945
23,5.7573767,12.59986
24,5.5896993,7.4751453
25,5.485249,12.092121
26,6.5119486,10.304225
27,6.0165005,10.189579
28,6.77689,8.050946
29,6.5524397,10.706337
30,5.918606,11.390429
31,4.5954633,17.9575
32,6.97163,13.256969
33,6.6820025,14.334495
34,6.2862535,12.43633
35,6.868037,13.182143
36,4.662639,5.7978683
37,5.564812,13.400904
38,5.224559,15.154514
39,6.599147,12.7359
40,6.334551,11.335742
41,5.919713,12.428466
42,4.0282764,14.903612
43,4.9593816,15.17432
44,5.6232944,15.638764
45,6.6289577,11.146655
46,4.091422,14.253404
47,5.0899353,14.357314
48,3.8677742,16.069021
49,4.2636867,12.589065
50,7.809404,14.450232
51,5.4784536,12.316851
52,6.4932876,14.52113
53,4.341453,13.747549
54,4.799229,13.02965
55,4.087658,16.100718
56,6.1789913,15.89737
57,6.3522553,13.723538
58,4.958494,14.510406
59,4.9453077,10.067336
60,5.3399506,14.008031
61,4.8114805,15.809029
62,5.595593,12.33631
63,5.717609,8.89099
64,6.2457595,13.665944
65,5.294572,11.468023
66,6.7919474,13.387174
67,4.3169556,14.924327
68,6.1551466,18.405169
69,5.014645,17.313421
70,4.803898,14.701801
71,5.1619697,14.354605
72,6.5367317,12.801529
73,4.404984,13.730238
74,5.917272,15.617152
75,5.4085765,17.107117
76,5.771447,14.6747265
77,4.5844,13.411044
78,5.5431705,14.506597
79,5.6063027,18.542028
80,5.466615,14.301736
81,6.0822434,14.303127
82,7.6980376,11.648228
83,7.0716505,11.026698
84,6.589626,11.751309
85,4.4240956,14.612188
86,7.839558,13.101716
87,7.848319,14.848648
88,7.001069,14.22907
89,7.665569,10.071192
90,5.8865447,12.202542
91,6.7223053,12.652528
92,4.9534707,9.587114
93,7.0420113,9.110089
94,6.454332,8.959563
95,6.134249,10.072733
96,6.9578733,13.749175
97,6.3636966,11.296261
98,5.870522,12.291027
99,4.9746943,13.98922
100,5.4762206,12.009646
101,5.062703,12.461794
102,6.684836,13.676544
103,5.5856214,15.02727
104,5.4336567,17.708582
105,5.106428,12.403143
106,6.679441,14.742128
107,6.968859,11.171738
108,5.7971826,9.056336
109,5.396012,11.611308
110,4.914046,12.271729
111,5.949199,12.818039
112,5.029584,13.8111315
113,6.0556626,16.570286
114,4.374307,15.875904
115,3.985603,10.169342
116,4.379766,10.145521
117,7.0639653,12.467532
118,5.318304,14.557075
119,6.1291137,11.190543
120,4.448871,13.885491
121,4.7850895,13.407543
122,5.7703714,17.405005
123,4.700803,10.890298
124,6.8916354,13.3325615
125,4.914226,11.209251
126,6.0251656,10.261385
127,5.5246983,7.830498
128,5.878054,10.926979
129,5.778919,11.332374
130,5.52569,13.917539
131,6.8994412,11.755277
132,6.069625,12.048554
133,4.4417105,11.130324
134,4.134732,9.977631
135,5.427943,11.931533
136,3.6026938,9.201263
137,3.9516199,9.820313
138,7.782601,12.080322
139,5.60486,10.75533
140,7.1891766,16.210726
141,7.3631225,10.387016
142,5.730291,7.220676
143,6.185039,10.553339
144,7.4938703,12.531384
145,5.8446426,9.786634
146,5.77292,13.276345
147,7.214124,15.424604
148,7.1576877,12.607189
149,4.8647103,10.69805
150,5.110123,14.407443
151,5.8040066,10.341704
152,4.095554,13.384411
153,7.025417,14.187803
154,6.0982437,14.966677
155,6.931682,11.726345
156,7.78729,5.694897
157,6.4961467,8.102109
158,6.109187,7.2833996
159,7.7518873,9.219233
160,7.101829,11.209781
161,7.7742157,8.504518
162,7.3138175,5.560549
163,7.9137273,10.898092
164,6.5796666,12.130525
165,6.707337,8.252018
166,6.60564,11.354317
167,6.729855,9.3970375
168,7.6461763,11.700327
169,7.0770197,11.356593
170,7.3504333,12.081271
171,6.2169547,7.233732
172,6.556637,6.2234006
173,6.352841,6.492883
174,8.13527,5.4152985
175,6.532127,9.519252
176,8.060878,7.48456
177,6.8812804,7.776731
178,6.864713,5.1803827
179,5.634168,6.8118014
180,8.028495,6.459909
181,5.3585835,11.858664
182,7.792872,10.492277
183,7.610371,9.063613
184,6.195046,11.788188
185,7.6481457,8.45447
186,8.058528,11.502401
187,7.564489,10.988108
188,7.45998,10.0042305
189,7.142888,9.821628
190,7.8930717,10.538515
191,8.631775,10.273519
192,6.7459283,7.5598474
193,7.6618133,7.0165906
194,7.4325547,10.594128
195,5.354987,11.0974
196,7.712612,5.5746355
197,6.5995984,2.372047
198,7.517799,9.503257
199,6.6296043,7.9686294
200,8.545352,8.93737
201,7.285071,10.128154
202,6.11942,8.006391
203,7.717199,7.91628
204,6.981328,6.673384
205,7.8056364,7.1398606
206,8.33811,11.224543
207,6.1506724,9.309095
208,7.9775963,6.242656
209,5.7030907,6.3043213
210,6.609157,3.7360528
211,8.182366,7.369411
212,7.014709,5.9455323
213,7.462571,9.37934
214,8.377543,9.848121
215,7.2772117,5.933738
216,6.791814,9.989062
217,5.0952625,11.709199
218,7.7964807,7.8731885
219,7.777625,4.2863736
220,6.1738667,8.567669
221,5.4968085,9.308588
222,6.6476707,6.1686215
223,5.596526,9.1389885
224,5.0088573,8.179341
225,5.9584403,8.280704
226,5.4246655,7.7835765
227,6.52074,9.077751
228,6.3675647,8.439014
229,5.566431,10.978478
230,6.517696,12.4509535
231,4.669548,10.423553
232,4.856334,6.922523
233,5.40236,10.609085
234,6.5750966,9.183999
235,5.5365343,3.9403045
236,4.8859253,7.5342607
237,4.5600734,7.7598457
238,6.9195695,10.331487
239,5.3730054,7.344431
240,6.547157,9.552134
241,6.571505,8.576203
242,5.773453,8.000936
243,6.341249,11.064794
244,6.5409045,5.739353
245,7.715039,5.4498663
246,6.8602724,10.219292
247,5.8271546,6.059847
248,7.561297,6.047944
249,7.0682087,5.090639
250,5.964586,5.5544033
251,7.1024556,7.856519
252,5.7453027,5.3194876
253,4.4076858,9.432978
254,5.210434,11.321699
255,4.722697,9.45092
256,5.9147263,7.404764
257,5.9853387,9.5704565
258,4.5502663,6.5927687
259,6.350923,11.157429
260,6.286052,7.9284263
261,6.1749682,8.554292
262,6.0113063,5.893556
263,9.473683,11.378378
264,6.9559927,12.676022
265,6.830762,10.291525
266,6.4466996,9.690185
267,6.956426,8.999993
268,6.186533,5.488015
269,5.4553986,11.589465
270,7.721326,14.442402
271,6.160389,9.936374
272,5.0676117,6.4530525
273,4.514695,8.890996
274,5.5928354,9.009522
275,6.093343,13.360686
276,5.8903375,7.643943
277,5.785186,6.329415
278,5.7806563,4.8817716
279,4.7981877,6.8972797
280,5.4315114,4.413696
281,6.1932926,2.2782066
282,7.205826,2.165284
283,6.59483,6.396754
284,6.05625,7.2902126
285,5.1955576,4.076106
286,7.084521,4.397676
287,7.1158195,9.863153
288,6.8708687,8.723079
289,7.237224,8.733177
290,7.7190557,8.0004
291,8.461237,4.3826256
292,7.09119,9.167281
293,6.4249206,4.1169367
294,7.3169827,5.130668
295,6.4570637,7.1766276
296,5.285728,9.392664
297,6.3774695,6.327729
298,6.9521937,11.769861
299,6.3144608,8.92866
300,7.6240287,11.090323
301,6.098791,8.649516
302,7.1415515,7.8497977
303,5.107577,8.671017
304,5.690135,9.471561
305,4.525871,5.5542684
306,4.4839845,4.75996
307,5.9332614,1.2389085
308,5.815045,2.2729468
309,6.4375477,7.057446
310,7.303823,5.9678373
311,6.834842,5.243249
312,6.7666306,6.0559444
313,4.4315286,9.398348
314,6.5393677,5.184218
315,7.4047117,6.375237
316,5.7638087,7.3097825
317,6.9391217,9.293517
318,6.076036,4.0776567
319,5.6269264,5.7267036
320,5.6553516,7.769664
321,7.17502,5.7850833
322,6.4276795,9.540622
323,6.2635813,5.7008257
324,7.115301,7.044962
325,6.9035344,7.5887165
326,5.8376966,8.490095
327,6.834089,6.2767205
328,8.127565,4.761759
329,6.3027935,2.6804965
330,7.2741737,5.566293
331,5.259219,6.9251227
332,6.279858,8.971264
333,6.172024,6.78451
334,3.956625,2.945875
335,6.0716424,4.038337
336,4.6604514,3.8604596
337,6.8893747,6.8829412
338,5.9356112,1.096074
339,7.03591,3.4979799
340,6.1958985,2.4080713
341,5.601022,3.1557379
342,6.634886,4.31839
343,6.6011534,2.9491365
344,5.488763,4.8880997
345,5.952742,4.2477417
346,6.539948,3.0209017
347,5.672041,9.004376
348,6.6270003,4.461184
349,6.1443057,6.426228
350,6.143311,3.5215917
351,4.6157928,5.469937
352,6.8874273,8.302871
353,4.71452,7.5372796
354,5.6281214,6.3492684
355,5.357939,9.271386
356,5.28115,8.461912
357,4.0185876,4.719692
358,4.18827,8.878533
359,5.9116774,10.927781
360,6.856879,6.9042187
361,6.8532867,7.833249
362,5.474089,5.7264733
363,6.3618665,6.5716977
364,4.9655547,5.997398
365,6.768196,5.0596266
366,6.006061,5.986285
367,5.269636,6.095118
368,7.299892,3.4547675
369,6.7135897,5.805134
370,6.5921087,5.59649
371,5.657694,8.168366
372,6.8986397,5.126015
373,6.393703,4.2576203
374,6.3214507,4.871948
375,6.595183,5.9276357
376,8.493612,5.4457006
377,7.608161,6.352119
378,7.039905,6.8881836
379,5.706144,7.3750067
380,8.140075,6.212529
381,6.049073,7.5725913
382,6.528938,6.5384
383,6.91475,6.6236653
384,5.6051955,9.391445
385,5.820962,9.284202
386,4.9608626,8.475225
387,4.515821,12.018959
388,4.8196125,9.027318
389,5.3905764,11.094367
390,5.644853,13.263365
391,5.192316,12.393005
392,6.06711,11.822082
393,4.8624945,10.691528
394,5.3616457,11.717729
395,7.354231,9.592084
396,6.397776,9.918055
397,5.6884894,8.680907
398,3.2413394,5.682545
399,6.0964713,9.804814
400,4.795264,9.844642
401,5.6745906,10.647093
402,6.336769,11.336785
403,5.367339,8.840948
404,7.2649455,6.791925
405,6.4237394,12.164711
406,5.490115,8.135427
407,7.6552253,8.927338
408,4.9559407,10.333824
409,6.26773,7.933701
410,6.3946795,7.3410325
411,6.175301,9.700617
412,6.985521,9.72011
413,6.7812514,8.511202
414,4.352986,9.026392
415,4.097811,6.2269
416,7.491955,6.5898848
417,6.0948567,9.572526
418,6.4913015,6.828618
419,6.0284767,6.6852007
420,6.715329,6.030823
421,8.930631,9.368136
422,6.154481,12.339764
423,6.053935,13.016838
424,5.5052986,6.4732995
425,7.555338,9.645867
426,7.857504,11.483569
427,6.7237315,15.552526
428,7.6710024,8.198348
429,5.543137,8.9644165
430,5.95151,9.25532
431,5.247004,12.455686
432,4.922576,7.3445187
433,7.094192,8.268333
434,4.9704266,10.881437
435,5.8743773,7.539137
436,5.86436,6.128901
437,7.223849,9.736096
438,6.9551425,7.319024
439,5.6271772,9.760872
440,5.864817,4.5288987
441,5.5355005,3.981928
442,6.314851,6.556096
443,6.6589146,7.875702
444,6.4149632,4.5526705
445,5.89624,4.8468404
446,7.200867,8.690124
447,4.917066,9.769634
448,4.445633,7.409702
449,6.68722,4.9416876
450,8.060209,11.297822
451,6.260192,8.6307745
452,6.776628,10.095622
453,7.0171876,10.456748
454,6.835508,10.639125
455,6.2167945,9.596115
456,7.7700014,7.2702284
457,6.594668,6.943741
458,5.815768,6.277128
459,4.174212,4.245249
460,6.5452676,4.0522428
461,7.912457,5.884437
462,5.6521926,5.757197
463,7.046545,8.691618
464,5.330458,5.455863
465,5.979978,6.495963
466,5.044582,6.0099277
467,6.0648556,8.838325
468,4.757736,9.337663
469,6.8724484,7.66413
470,7.164744,8.610816
471,6.008187,7.754695
472,7.5071664,8.873327
473,7.5510354,7.1331306
474,8.457791,6.967423
475,7.6580505,9.757858
476,7.944066,4.2862935
477,7.053106,7.1612782
478,6.0280967,8.449184
479,7.4220457,4.937918
480,8.519674,6.8923745
481,6.3287888,6.739546
482,7.2197585,6.7243114
483,6.0800776,5.536046
484,5.5700727,4.0497065
485,6.4264345,4.9116178
486,6.743271,6.7658057
487,6.7070036,6.3306627
488,7.519161,2.9683113
489,6.3553286,5.7311707
490,6.4333205,7.0257683
491,6.197031,6.439291
492,4.973806,5.8974233
493,8.230722,6.318301
494,6.547499,7.307358
495,5.525863,9.319263
496,7.2737336,6.160475
497,6.0713377,10.474021
498,6.600267,6.126952
499,5.7754626,2.747682
500,7.4388776,6.3596015
501,6.785848,5.5728407
502,6.53253,8.257063
503,3.9699955,9.24057
504,5.560917,4.891457
505,6.4015927,6.4382567
506,7.47025,7.2700696
507,5.3133073,6.2959595
508,5.2099032,10.920806
509,7.302007,4.601331
510,6.1660037,5.8347425
511,7.228081,6.7746587
512,7.1736317,8.602966
513,7.481599,7.4061327
514,5.9574866,9.018092
515,8.114933,9.25072
516,6.811246,9.553927
517,6.7387323,7.5085545
518,6.307454,9.625274
519,7.6519494,7.5698366
520,6.5858264,8.965521
521,4.4876447,9.124674
522,4.39097,11.269016
523,6.1095514,7.2705307
524,7.0775447,5.880514
525,5.1565027,4.1694837
526,6.207653,5.424516
527,4.949388,8.96812
528,6.3146048,4.2600627
529,5.932788,5.667259
530,5.201847,4.052697
531,7.0051737,-0.5483945
532,6.434023,3.2898822
533,7.452637,0.7846888
534,5.9814267,5.25022
535,7.707415,4.7630367
536,5.735138,8.722743
537,6.7573137,4.1562543
538,5.6514387,6.2126184
539,5.32546,0.2405538
540,4.8922987,4.6927443
541,6.864992,1.0182191
542,7.388225,6.0805216
543,7.118852,2.998286
544,7.4694295,4.0130424
545,6.1597123,5.2608256
546,6.9893956,6.413728
547,5.3926992,2.581026
548,6.740365,0.86638623
549,8.063445,2.5189679
550,6.1490145,0.77521104
551,6.078634,7.792222
552,6.0262513,2.1555817
553,7.0136924,9.939023
554,3.8400474,8.874143
555,5.9261856,7.6174364
556,6.5190983,9.957117
557,7.2785063,4.1864977
558,6.1421876,7.5449977
559,5.0109363,6.0578766
560,4.25095,5.9547086
561,5.7621503,4.256005
562,5.598332,9.553318
563,7.6415834,2.6657221
564,6.4393673,8.651694
565,6.0810223,6.129066
566,5.398954,6.532043
567,5.841709,7.4860954
568,6.88511,8.953299
569,5.922674,4.8586617
570,6.696843,4.3142858
571,7.0681996,3.5579567
572,5.975478,3.8675363
573,7.5775228,1.522905
574,5.2770195,4.7519283
575,6.2293577,6.2460003
576,4.954923,3.1816058
577,5.022256,4.6952124
578,5.2146564,3.3032374
579,5.06173,0.9865461
580,4.926079,10.047251
581,5.1081967,11.854178
582,5.0298786,10.870692
583,6.5177574,9.574493
584,4.6195517,12.188644
585,6.1363726,7.234856
586,6.6872687,6.0299325
587,5.3418503,5.547372
588,5.537361,6.3446155
589,7.9914346,8.444926
590,5.9014955,7.889801
591,6.2196975,5.63133
592,7.3698235,8.9088335
593,6.515332,3.93057
594,5.7495522,8.140089
595,7.1924725,10.719533
596,7.9508624,6.865677
597,6.6677475,5.007088
598,6.322562,12.280941
599,7.0738015,11.273337
600,7.336538,10.308777
601,6.093174,12.449852
602,6.179245,10.010307
603,5.159958,10.365522
604,6.794175,11.486013
605,7.7166505,10.089583
606,5.151312,8.554264
607,4.613706,11.370308
608,6.339719,10.942868
609,7.146757,9.518319
610,7.1322393,11.553626
611,6.262444,12.47259
612,6.757665,12.609673
613,5.0647764,12.603534
614,5.804638,9.603817
615,5.0296803,11.76015
616,5.352381,12.442792
617,5.657658,9.518803
618,5.628355,10.083444
619,7.313962,9.598258
620,6.3889437,13.011204
621,4.1958146,14.781999
622,5.736082,13.980353
623,5.80841,9.599959
624,5.607886,10.498468
625,6.412161,9.165723
626,6.9844832,11.222486
627,8.606916,11.767476
628,6.2189226,14.611342
629,8.471832,10.499026
630,8.11666,12.100747
631,6.4089274,10.612716
632,6.974669,10.76493
633,5.7501035,10.72379
634,3.6118765,9.797343
635,5.741231,7.308191
636,6.6514373,9.351168
637,5.5833054,11.635306
638,5.2367196,10.616822
639,6.651913,11.499126
640,4.225806,5.916583
641,6.409979,10.1309395
642,6.256065,10.699938
643,6.4698706,11.174817
644,4.3140826,8.112692
645,4.780693,5.810704
646,4.7997556,4.497939
647,6.40169,6.438743
648,6.2725,7.646255
649,7.011166,10.281064
650,5.6302505,7.763303
651,6.8889093,9.230676
652,5.324227,10.398423
653,5.3998904,5.401222
654,5.4678645,8.315272
655,5.5400276,7.5279403
656,2.7765744,10.050641
657,5.3723674,8.614436
658,4.1872554,9.419975
659,6.4706893,8.807696
660,6.044596,6.55265
661,5.625803,7.3330836
662,4.7827725,8.86034
663,5.722155,6.110201
664,6.6728005,6.7199187
665,7.2699246,7.8018427
666,6.3462677,8.38528
667,6.6172395,9.527266
668,7.6787486,7.0666366
669,6.4739785,6.8546576
670,7.106093,6.94726
671,7.4861617,6.632107
672,6.664228,5.6479583
673,6.523647,6.4020305
674,7.6985755,8.558968
675,8.185586,5.1024165
676,7.713299,6.4797616
677,5.471781,10.215516
678,6.234544,10.559188
679,5.4740534,5.969675
680,6.4960437,5.5631347
681,7.468456,8.213385
682,8.62314,6.0030694
683,7.7750525,6.4906125
684,7.0289397,8.505363
685,8.465001,7.141874
686,7.1529403,5.975006
687,6.912841,1.9011497
688,7.6508617,2.5270078
689,6.3324323,6.834514
690,5.866568,4.747682
691,5.9830503,5.449825
692,7.727655,7.2456875
693,7.114456,7.6301575
694,4.7414446,7.7659087
695,6.5783854,5.0715156
696,5.36096,6.8092966
697,5.9410243,8.183962
698,3.4734228,4.619596
699,5.3393354,5.837492
700,5.019809,8.666718
701,4.1926374,8.186314
702,4.6054645,5.1502576
703,7.968075,8.710795
704,5.9294834,4.3650465
705,6.3949313,5.3926473
706,5.091926,7.1005044
707,3.0809944,8.366632
708,3.3682437,6.128965
709,5.4245534,6.4916716
710,4.5176425,5.0001373
711,4.540539,9.988184
712,5.883571,10.554851
713,5.2511086,6.82359
714,5.5302553,6.141904
715,5.3225183,9.251427
716,4.8807364,8.015266
