Frame,PC1,PC2
0,1.3963063,1.2136235
1,3.2517292,6.442103
2,2.8312442,6.4728327
3,1.9018141,6.3505034
4,1.0998083,5.5702515
5,1.6277344,5.739446
6,2.5088842,5.5846653
7,2.2911603,8.436712
8,4.2551255,4.267555
9,2.3971543,5.0845046
10,4.238031,6.617
11,2.4542413,7.583495
12,2.627803,7.225878
13,2.8228607,7.8977766
14,1.9126637,6.245698
15,2.7489603,9.543492
16,3.241765,2.7700133
17,1.241357,7.2489967
18,2.0238612,5.214359
19,2.3018415,2.3257241
20,2.914406,8.756533
21,2.9586995,6.1483707
22,1.8757669,6.080933
23,1.8334806,4.9040627
24,1.7563218,8.089043
25,0.08525784,4.7739906
26,1.939359,4.820641
27,1.7011716,2.1631572
28,2.551612,4.2896247
29,1.0941235,1.6990544
30,2.5280442,4.940442
31,1.7411046,3.3822815
32,2.9636192,4.360599
33,1.7788624,-1.1452668
34,1.9147133,1.3550168
35,1.046692,5.5575137
36,1.6861228,7.3397884
37,1.1817182,4.7036576
38,2.711565,4.554069
39,1.1675627,5.880712
40,0.8796337,5.8837166
41,2.0766697,1.0525447
42,1.277934,4.7418227
43,0.38791597,5.225543
44,2.6730201,5.247841
45,5.0172257,1.052188
46,2.4873722,5.739735
47,1.7612708,6.3681507
48,3.0527022,4.3404055
49,1.551644,6.630729
50,2.4857564,2.7319229
51,0.9761367,1.6553701
52,4.526455,5.0211434
53,3.030525,4.7640634
54,3.5970528,5.3943696
55,2.2595785,1.9982233
56,2.8731155,2.8305912
57,3.6139393,3.6533096
58,1.239802,8.733633
59,1.6283344,6.9939475
60,1.3044336,8.305386
61,1.3689156,4.608156
62,2.9165895,5.818533
63,1.8604647,4.5671425
64,2.6699543,2.153799
65,1.7456616,4.8370147
66,1.5584432,7.874708
67,4.182035,4.147089
68,2.6329885,4.2164974
69,2.1933756,7.6515913
70,2.63468,11.024861
71,2.4695191,9.356538
72,1.5665997,11.279992
73,1.7809002,8.186779
74,1.7945434,5.297845
75,1.6981333,5.1451445
76,1.8014418,5.680653
77,1.2312001,10.757053
78,2.1929228,4.7251143
79,2.6975064,6.429506
80,2.280355,6.6193185
81,1.9004208,3.2125194
82,1.7180587,2.4013033
83,3.834315,3.9698334
84,3.5691812,4.471975
85,3.9865894,4.8061247
86,2.0630543,5.4292665
87,0.89171666,7.960231
88,1.4373555,7.3918123
89,1.4777018,4.124816
90,3.4531689,6.0656085
91,2.8314986,5.566491
92,2.6189272,7.1792397
93,2.0175033,5.635041
94,2.0394318,3.5683272
95,1.4914198,1.2420719
96,2.0542133,8.334776
97,3.8895767,6.8410354
98,3.2730792,7.330246
99,2.161906,8.697594
100,3.189878,6.4186387
101,3.4409237,5.0573244
102,2.33415,5.622554
103,2.926984,4.2664824
104,1.2309096,4.590745
105,2.2757986,5.400488
106,2.377126,5.663831
107,0.5612098,5.3796496
108,3.6321917,5.4829264
109,1.4305551,2.3957207
110,-0.69769466,7.1830473
111,1.6964889,1.0958138
112,0.45554623,2.062397
113,-0.058158785,3.6283722
114,1.9946167,7.272219
115,-0.045649834,7.6431856
116,2.3642008,5.447379
117,0.79921025,4.2777815
118,0.98891973,6.238882
119,0.94850075,5.1578918
120,2.2258182,3.9024916
121,2.2640145,5.8117905
122,2.6869318,6.5771246
123,3.2714262,4.623424
124,2.8722174,8.452094
125,2.1372223,5.482139
126,1.4702932,6.282655
127,1.1141739,9.1393
128,0.24917439,5.8638444
129,2.5016422,8.023275
130,2.517133,4.010521
131,2.294133,7.2927547
132,1.3647097,4.318116
133,0.97624946,1.8031983
134,0.9189503,2.679227
135,1.6400594,0.44568676
136,1.1045196,2.0431147
137,1.0769076,1.810698
138,0.927857,4.499462
139,1.3464135,7.409416
140,1.2812071,2.5324578
141,0.81087226,4.223667
142,0.31434625,5.2411704
143,1.1717615,2.4654882
144,3.0766375,8.695393
145,2.9246233,7.4099255
146,3.7331138,9.881054
147,4.1363883,6.3633275
148,2.5292208,7.1283545
149,3.9551537,7.1114316
150,2.4626417,3.5005581
151,2.4362147,8.338387
152,1.7157043,10.708876
153,1.6029751,11.278647
154,2.1163025,12.801275
155,1.6274284,10.226257
156,3.1261532,10.972312
157,1.8651533,9.780119
158,2.663462,11.384236
159,2.3657916,14.174451
160,0.78660715,11.341513
161,0.8139183,6.916194
162,1.0351001,12.311575
163,1.999972,11.411989
164,2.0274055,13.357039
165,1.0021693,13.049781
166,0.98373425,14.780772
167,1.9303839,11.724724
168,2.2662635,9.3569
169,0.536655,13.161853
170,0.14863561,12.179816
171,0.47967625,11.156944
172,0.85213375,13.9188175
173,2.634251,14.438358
174,0.94463176,8.584446
175,2.151118,11.115009
176,0.9140308,9.619532
177,1.1625009,10.535262
178,0.9217739,10.637013
179,-0.39033157,10.766951
180,2.4856217,12.125194
181,0.8345027,13.541548
182,0.6512846,8.829504
183,0.8973998,14.631626
184,0.07716493,13.678683
185,-0.48383385,12.330506
186,-0.18439364,12.229932
187,1.2420127,12.371645
188,0.90505385,13.4121275
189,0.6364384,9.179459
190,0.13322598,11.906086
191,-0.5593745,12.964012
192,-0.24309021,14.535359
193,0.27651268,14.892491
194,-0.018122045,12.880104
195,0.19769074,13.383835
196,1.1387895,11.778655
197,1.379069,9.762267
198,0.27312815,5.844047
199,0.04807571,12.392443
200,0.19483389,10.735838
201,0.08501227,9.540882
202,0.3980302,12.554013
203,1.3476644,10.534146
204,-0.6381949,8.122754
205,0.7443946,11.170409
206,1.2355301,10.199464
207,0.007103113,12.106116
208,0.36524174,11.718035
209,2.0723147,15.318807
210,1.165912,10.410188
211,1.06788,11.707348
212,2.687532,12.617292
213,1.959231,13.873504
214,1.1299622,7.5351257
215,-0.56949323,12.886141
216,0.83940697,10.461169
217,1.4389623,11.814688
218,0.6597923,12.877722
219,0.044252053,7.179133
220,1.9275031,8.690599
221,1.3960057,7.955027
222,1.1670635,10.978709
223,0.086733416,7.1808887
224,1.2382232,3.6649735
225,1.4044737,3.340106
226,1.1305779,4.9211345
227,0.70373327,7.6898527
228,2.7701836,6.7250834
229,1.721358,3.421965
230,0.56575304,7.204482
231,1.526834,4.823797
232,0.5248911,4.715392
233,-1.5724365,2.798092
234,0.012130616,0.17995362
235,0.35072666,1.5505937
236,2.1576884,4.3757176
237,1.9829429,3.6508799
238,2.1048667,1.1903573
239,1.2536783,1.6109062
240,1.9259809,0.69641775
241,1.0180811,2.642042
242,0.43639997,1.9806379
243,-0.71375114,2.3099444
244,1.2804657,0.33416265
245,0.115426786,-2.7663267
246,1.7161603,-1.4231813
247,0.11126849,0.050836228
248,-0.29862514,-3.3646517
249,-0.8900823,-2.957543
250,-0.9827608,-0.8380473
251,0.18849263,-1.6476382
252,-0.38151693,-1.7494307
253,-0.737511,4.1360693
254,-1.8475783,-0.97321254
255,0.718798,-1.0269467
256,-1.7603762,0.47514486
257,-0.11766192,0.18803868
258,0.22591704,0.7245546
259,-0.9189466,-0.27310133
260,1.2279534,-1.3683088
261,-0.1818964,-1.9581434
262,0.45882678,1.2857221
263,-0.61360043,-1.1400955
264,0.3247354,-3.3758984
265,-0.40616933,-4.5740623
266,-0.12441966,-0.044057194
267,0.5955213,-1.0786989
268,0.2966722,1.2918977
269,-0.058435343,0.60563564
270,-0.30829954,0.23839222
271,-0.81078213,-2.7638757
272,0.8388674,-1.6141646
273,-1.8114966,-0.10300098
274,0.5929406,1.7026463
275,-1.0754076,-1.4211189
276,-1.7250643,0.16894084
277,0.9196787,-0.31632587
278,-0.6820272,0.3493677
279,-0.9835166,1.4760592
280,1.3728758,2.4003007
281,-0.59165347,-1.6340603
282,-2.6263657,1.255154
283,0.5367292,-0.5699313
284,-0.026972933,5.181784
285,0.044484604,-0.6300119
286,0.39550266,3.6970625
287,-0.096539505,0.6874315
288,-1.2289851,-0.31398076
289,-1.2720025,2.2042365
290,0.5674865,2.3662717
291,-0.4357149,2.6855536
292,0.07880038,4.5450687
293,-1.314192,2.2880704
294,1.3353491,-1.1211089
295,-1.4175174,0.040374268
296,-0.2943481,-1.6306225
297,0.3375524,-1.3787867
298,-0.0813203,0.12306596
299,-0.5478621,-0.21153785
300,-2.1413636,-0.12750956
301,0.05297592,1.8399024
302,1.3535304,1.3568037
303,-0.4568368,1.7446572
304,2.5292466,-1.4050697
305,1.4676124,2.6920614
306,-0.4402472,0.25572115
307,-2.9084747,0.563868
308,-2.0343122,-0.9210266
309,-1.5331787,0.94160163
310,0.8043194,2.7484882
311,1.5384307,-0.45043105
312,1.9345175,2.3840933
313,-0.56954885,1.1907289
314,-1.7391038,0.75601685
315,0.83198583,1.4899616
316,2.1463273,1.0851171
317,-0.47391826,0.19907987
318,1.4683388,1.5041451
319,1.0475584,0.37581336
320,2.2788188,0.9039549
321,0.6883417,1.7989858
322,0.42273033,0.18600798
323,0.6667962,3.1617901
324,0.17500365,-1.721549
325,-0.3206009,2.137339
326,0.56451434,2.2099724
327,1.0790766,1.3642807
328,1.1094495,3.4259193
329,-0.37398094,1.8491641
330,0.39890295,-0.13322853
331,-0.12252723,2.0986683
332,0.88857543,0.93515074
333,2.4683752,1.8618469
334,2.8422575,0.60201573
335,0.8666999,-1.9073172
336,-0.22757167,-0.14406306
337,-1.005356,-1.114775
338,0.25505674,1.5829892
339,-0.69111305,0.05548464
340,0.79963356,0.16173702
341,0.07734891,2.521704
342,1.4027848,0.5999847
343,-1.8298156,1.0559392
344,-0.04182916,-0.5084449
345,-0.04921764,-1.0394667
346,-1.4831636,1.4948969
347,1.251267,1.1322622
348,-0.62627834,0.638226
349,-1.5527103,1.4695302
350,0.19700441,3.6556046
351,-0.6540938,4.955418
352,-1.3567989,0.6601859
353,-1.3016587,1.383066
354,-1.1589428,3.0201595
355,-1.2095573,1.6632597
356,-1.5067363,-1.1828742
357,-0.11204122,-1.580715
358,-2.589059,0.7215813
359,-0.26222256,2.1776779
360,-2.380518,-1.3232044
361,-0.6265507,-1.6862819
362,-0.19197632,-0.8235997
363,-0.66276646,-3.5951667
364,-0.757838,0.19605097
365,-0.8516857,-1.0752801
366,-1.0716528,-1.348329
367,-0.36998844,-0.86032325
368,-1.4602908,-0.46746752
369,-1.1862255,-1.8543591
370,0.66099155,-1.1475977
371,-0.14144962,-2.2699623
372,0.23353045,-1.8642918
373,-2.3886614,1.1926368
374,0.22055042,-4.288911
375,-0.04596847,-1.0178853
376,-0.3124614,-3.4839787
377,-0.32150388,-0.41668856
378,-0.5192668,0.35015342
379,-0.78012687,1.1460167
380,0.48581547,0.8054697
381,-0.6687954,3.594265
382,-0.3613749,-0.08807153
383,0.7198155,0.6008579
384,-1.2151004,-0.33294708
385,-1.8193147,-1.5241888
386,-0.8222057,-2.028988
387,-0.22444285,-0.30559435
388,-1.2694616,-0.31590375
389,-0.6538825,-1.5380596
390,-0.14749202,-0.5693206
391,-0.39315885,-0.12694514
392,-0.7252465,-0.5036155
393,-0.40953213,-1.6372062
394,-0.57187885,0.40752813
395,-1.2395105,2.278183
396,0.5828259,1.1767851
397,-0.6696085,3.4634175
398,-1.3489839,-1.413498
399,-2.1609352,3.2955084
400,-0.4875062,1.7672408
401,1.1715415,-4.1875377
402,2.0229917,-0.035673603
403,0.5995901,2.0020075
404,-1.0821421,0.96877164
405,0.4415288,0.26686272
406,-0.13634686,0.4154198
407,-0.15070957,-1.6130387
408,1.264838,-0.42268616
409,-1.7926052,0.1404545
410,-0.7569824,-1.351001
411,0.14629325,2.537062
412,-0.9518343,-1.0395533
413,-0.041214634,-2.3896523
414,-0.004184206,-0.7813321
415,1.431795,-0.4275564
416,0.53533995,0.3493848
417,-0.36979413,-2.6214364
418,-0.9296649,-1.1546401
419,0.11923832,0.12463289
420,0.37515935,-0.41516915
421,-0.5855172,-1.0707159
422,0.3806003,-1.6078004
423,1.5055026,-0.31161404
424,0.61184824,0.26135463
425,0.74626267,-2.4393568
426,0.2485921,0.937365
427,-0.040648267,3.0505283
428,1.4610168,2.3593352
429,1.3051789,1.0868028
430,1.0594289,0.8918307
431,0.76940286,-1.7860612
432,-0.2918559,1.3875542
433,-1.053895,3.4418206
434,0.49278277,1.767645
435,1.0951712,-2.5763848
436,0.3212184,0.9096098
437,0.6498433,-2.069509
438,-0.2388281,0.19232567
439,1.1602728,-1.1787325
440,0.87335294,-0.8615037
441,-0.91121745,0.6659552
442,0.2968482,2.5203924
443,0.8649031,1.5366261
444,1.9207639,1.5286958
445,0.8306554,-0.01726047
446,1.3342971,4.0941033
447,1.9574012,1.349824
448,0.17451881,-0.004751902
449,1.7851195,-1.6380204
450,1.0714107,-0.7028077
451,1.7267576,-3.696694
452,0.9992916,-2.038082
453,2.753066,0.12288347
454,3.8738563,-1.226913
455,1.161225,-1.4931685
456,2.942912,-2.8249254
457,2.172481,-1.115454
458,2.537924,0.3223819
459,2.3863902,0.6296508
460,3.4875283,-0.21861525
461,2.1010482,-2.76599
462,2.5564554,-1.3052619
463,2.3841603,-1.2307562
464,1.2529894,-0.45491153
465,1.3423077,1.104369
466,1.01194,1.4693055
467,1.7356464,-3.1073122
468,-0.06583042,1.2424006
469,0.1452825,0.018342465
470,1.8911718,-0.09298736
471,1.6284888,-0.6403839
472,0.1873911,2.2333562
473,1.0345908,1.2620528
474,0.75665593,1.5174719
475,0.80354774,2.6044645
476,1.6322976,-0.18858154
477,0.483523,-0.2770187
478,1.917182,-0.48738497
479,0.9943174,-2.1091795
480,3.0011823,-1.0119232
481,1.4349675,-1.8448477
482,1.9715717,-1.9706898
483,1.2306573,-0.8418377
484,3.777077,-0.41822892
485,0.9927605,-1.3127538
486,3.0118928,-0.41551802
487,3.7987704,-1.2561848
488,2.736076,1.73959
489,2.955687,-0.3085517
490,1.9259816,2.4530332
491,0.67237943,1.1585448
492,0.7722223,3.4271643
493,1.3041353,1.2399454
494,1.7582893,1.3976458
495,2.2071352,0.09806624
496,1.9828078,-2.6115265
497,1.9556865,-2.7136548
498,2.4538722,-0.79368275
499,-0.036222957,-0.71887136
500,1.4547918,0.984691
501,2.345522,-0.3355325
502,2.0597672,0.13427019
503,3.7799015,-1.4484184
504,0.5820484,0.039385665
505,1.9805384,-0.7585217
506,1.2222843,1.7719883
507,1.4858997,0.56841266
508,1.0671741,0.44511712
509,2.5731158,1.5893887
510,2.5687408,0.39766252
511,2.5527062,0.8793778
512,1.2939653,0.58013666
513,2.7715287,2.4259088
514,2.4562526,2.5152767
515,1.1905718,1.8599404
516,2.127322,-0.14459582
517,2.035171,1.8032182
518,2.000117,0.6651062
519,0.20680515,1.036614
520,1.1710912,3.3130918
521,1.8621554,5.940228
522,0.55796313,1.52448
523,3.0692163,-0.17471577
524,2.8284333,2.2333865
525,2.6393735,2.5640287
526,1.399975,1.6169974
527,1.7009372,2.6250942
528,0.98252267,4.7121916
529,0.55296135,5.3570642
530,1.777852,1.7005146
531,1.0764925,4.409305
532,2.3949878,2.0702903
533,1.6612701,1.2492222
534,1.2742299,1.4523028
535,2.403362,1.3500403
536,3.1840148,2.1796556
537,0.76712614,4.384415
538,0.8739806,2.7824905
539,2.7552974,4.6998343
540,0.86146146,1.0127428
541,0.9718913,1.9694256
542,1.9265872,1.3504052
543,1.7267622,2.9641938
544,1.5363224,1.7321466
545,1.7941834,-0.31116968
546,1.9043207,1.2912349
547,1.351338,1.1508768
548,0.35539335,1.5372287
549,1.6511672,4.15427
550,1.6283613,1.5365373
551,2.3269634,0.2595129
552,3.109041,2.1278148
553,1.7601231,0.87131834
554,1.889159,1.494949
555,3.1620638,2.7217376
556,3.6693141,1.7380198
557,1.5356635,1.5876981
558,2.66547,1.8037473
559,2.5770261,-0.81990904
560,2.3688376,1.9449815
561,1.6520593,4.963522
562,1.2868414,2.3009043
563,1.9504489,3.1882195
564,2.1678588,2.1950479
565,1.2494022,3.8229222
566,0.82112914,3.1580362
567,1.413616,1.4596355
568,3.090839,0.55106413
569,2.8279436,-0.056712344
570,1.9747138,3.1141899
571,0.6836331,-0.0060630655
572,0.20162646,-0.6200287
573,1.2070524,0.90328383
574,1.8380406,-1.0342174
575,2.310678,-2.0818036
576,1.0820998,1.0467852
577,1.5002447,-0.68733424
578,1.786169,1.4591674
579,1.3682933,0.4060153
580,1.8438717,-1.0439651
581,1.4122947,1.4458364
582,1.3740579,-1.0557872
583,2.1106896,1.5417296
584,2.1091852,2.2699506
585,1.9431479,3.72381
586,3.0074987,3.4650114
587,1.1829542,2.8397377
588,3.414315,3.8015473
589,1.5037943,2.1771033
590,1.8507789,0.62227374
591,2.908392,2.4251812
592,3.3844457,-0.7706271
593,3.0579762,3.379081
594,2.0934756,0.36901063
595,1.7981896,3.5361269
596,1.5262365,-0.53032404
597,3.435364,-0.6795749
598,3.702938,0.6677301
599,1.3519999,1.3513807
600,1.2394786,4.283788
601,1.4033753,2.497106
602,2.2218888,4.184207
603,2.4822626,3.2915108
604,2.1050181,2.9120636
605,0.9455132,4.58376
606,1.2268002,6.16832
607,1.70474,0.75883627
608,1.6749713,3.4329112
609,1.9193693,4.5477962
610,1.7614547,3.1833901
611,0.75536835,1.5592717
612,2.2076242,3.2163742
613,1.8037844,3.220383
614,1.58794,3.448765
615,2.1526911,1.7138633
616,3.4888914,1.6766471
617,0.7944214,0.4710534
618,0.8762706,4.1245656
619,0.7335492,2.1794772
620,1.4615749,2.2753727
621,3.0752847,0.10131039
622,0.9039883,1.9405406
623,0.45327216,2.6128876
624,2.864577,-1.0648502
625,1.9753513,1.5660957
626,0.2505375,1.9896375
627,1.0417565,1.7376677
628,0.40405285,2.117592
629,1.0364016,0.49135956
630,2.3926358,-1.4751968
631,1.0637215,1.4418753
632,0.9450643,0.4679292
633,1.6951782,2.2265341
634,3.6693401,0.62767637
635,1.4458809,-0.13856474
636,0.5969454,-1.0226101
637,3.2923408,0.24306117
638,1.8599237,0.1512903
639,2.4479399,0.89735144
640,1.5378896,0.16412626
641,1.8224976,-0.33828306
642,0.83277327,1.789581
643,2.3163111,0.9718206
644,1.6469554,1.9724177
645,1.3835031,3.3954005
646,2.5332592,3.9840949
647,1.9075403,0.92774606
648,2.333929,-0.4360875
649,1.8009405,0.7500492
650,2.0358338,1.1517377
651,1.7831228,-0.03673091
652,3.1696596,-0.35815498
653,2.7205913,-0.03627993
654,2.0695593,-1.5307056
655,2.3738792,0.6533377
656,1.3452609,2.524911
657,1.033476,0.1703302
658,2.0505571,0.50377303
659,3.1237543,-1.4901551
660,1.8114014,-0.25050896
661,3.387206,0.35268256
662,1.4337609,0.53090936
663,1.8650359,3.0476525
664,2.7857738,0.3546396
665,2.8957396,-0.63307816
666,4.01575,1.2018883
667,1.7810789,-0.7268904
668,2.3372774,-2.1360984
669,1.5686594,0.35291782
670,2.757049,0.93623286
671,0.98283684,-0.59735405
672,2.6914375,0.6882565
673,1.1154786,1.7290548
674,1.0825256,-0.9878785
675,1.4905678,3.2432053
676,1.8578609,0.6469732
677,2.264281,1.697229
678,3.589508,2.4725769
679,0.4425311,2.8776374
680,3.2766125,3.2835395
681,1.9946553,1.080941
682,3.0014398,1.4464003
683,2.4285438,2.1172101
684,1.9334606,2.7830343
685,3.4090574,-0.29139602
686,3.3038123,1.5209274
687,2.8555512,2.8793678
688,1.0514323,3.7383657
689,1.5717627,2.4246576
690,1.30142,2.3126984
691,1.8918326,0.9723321
692,2.3524592,-0.6956116
693,3.140204,1.0274681
694,3.4944792,1.2210327
695,2.1116247,1.3659693
696,2.694837,1.6565192
697,0.74893737,0.99286103
698,1.7213126,0.12110842
699,2.771757,0.82892275
700,1.1576278,0.58617324
701,-0.061113965,0.71066916
702,1.2374557,0.08581731
703,-0.592539,0.15791926
704,0.98694515,-0.22127031
705,3.612672,-0.010613227
706,2.441774,3.6087039
707,2.1473517,0.15121156
708,1.8740441,0.4608205
709,0.9540368,0.3241731
710,1.1879472,-1.5644673
711,2.4829786,2.5828438
712,3.0887628,-0.6785407
713,0.6980588,-0.34784484
714,1.4770324,-2.6695821
